query_id,recall_exact,recall_pq,recall_candidate_oracle,recall_all16,recall_exact_oracle,delta_exact_control,total_loss,discovery_loss,ranking_loss,exact_l0_count,pq_l0_count,coverage_exact,coverage_pq,top16_boundary_tie
74,0.90000000000000002,0.80000000000000004,0.90000000000000002,0.90000000000000002,0.90000000000000002,0,0.099999999999999978,0,0.099999999999999978,887,805,0.90000000000000002,0.90000000000000002,0
75,1,0.90000000000000002,1,1,1,0,0.099999999999999978,0,0.099999999999999978,963,1052,1,1,0
76,0.69999999999999996,0.69999999999999996,0.69999999999999996,0.69999999999999996,0.69999999999999996,0,0,0,0,554,535,0.69999999999999996,0.69999999999999996,0
77,1,1,1,1,1,0,0,0,0,398,398,1,1,0
78,1,1,1,1,1,0,0,0,0,636,647,1,1,0
79,0.90000000000000002,0.80000000000000004,0.90000000000000002,0.90000000000000002,0.90000000000000002,0,0.099999999999999978,0,0.099999999999999978,536,567,0.90000000000000002,0.90000000000000002,0
80,1,1,1,1,1,0,0,0,0,449,474,1,1,0
81,1,1,1,1,1,0,0,0,0,653,656,1,1,0
82,1,1,1,1,1,0,0,0,0,494,637,1,1,0
83,0.80000000000000004,0.80000000000000004,0.80000000000000004,0.80000000000000004,0.80000000000000004,0,0,0,0,771,1043,0.80000000000000004,0.80000000000000004,0
84,1,1,1,1,1,0,0,0,0,554,558,1,1,0
85,1,0.80000000000000004,1,1,1,0,0.19999999999999996,0,0.19999999999999996,768,982,1,1,0
86,1,0.90000000000000002,1,1,1,0,0.099999999999999978,0,0.099999999999999978,690,818,1,1,0
87,1,0.90000000000000002,1,1,1,0,0.099999999999999978,0,0.099999999999999978,634,652,1,1,0
88,0.90000000000000002,0.69999999999999996,0.90000000000000002,0.90000000000000002,0.90000000000000002,0,0.20000000000000007,0,0.20000000000000007,603,623,0.90000000000000002,0.90000000000000002,0
89,0.90000000000000002,0.90000000000000002,0.90000000000000002,0.90000000000000002,0.90000000000000002,0,0,0,0,747,777,0.90000000000000002,0.90000000000000002,0
90,1,0.90000000000000002,1,1,1,0,0.099999999999999978,0,0.099999999999999978,693,677,1,1,0
91,0.90000000000000002,0.90000000000000002,0.90000000000000002,0.90000000000000002,0.90000000000000002,0,0,0,0,494,497,0.90000000000000002,0.90000000000000002,0
92,0,0,0,0,0,0,0,0,0,634,799,0,0,0
93,1,0.90000000000000002,1,0.90000000000000002,1,0,0.099999999999999978,0,0.099999999999999978,652,650,1,1,0
94,0.59999999999999998,0.59999999999999998,0.59999999999999998,0.59999999999999998,0.59999999999999998,0,0,0,0,705,728,0.59999999999999998,0.59999999999999998,0
95,1,0.90000000000000002,1,1,1,0,0.099999999999999978,0,0.099999999999999978,696,665,1,1,0
96,1,1,1,1,1,0,0,0,0,489,496,1,1,0
97,0.69999999999999996,0.69999999999999996,0.69999999999999996,0.69999999999999996,0.69999999999999996,0,0,0,0,608,574,0.69999999999999996,0.69999999999999996,0
98,1,1,1,1,1,0,0,0,0,771,797,1,1,0
99,0.80000000000000004,0.69999999999999996,0.90000000000000002,0.90000000000000002,0.80000000000000004,0,0.10000000000000009,-0.099999999999999978,0.20000000000000007,761,784,0.80000000000000004,0.90000000000000002,0
100,0.90000000000000002,0.80000000000000004,0.90000000000000002,0.90000000000000002,0.90000000000000002,0,0.099999999999999978,0,0.099999999999999978,706,721,0.90000000000000002,0.90000000000000002,0
101,0.90000000000000002,0.90000000000000002,0.90000000000000002,0.90000000000000002,0.90000000000000002,0,0,0,0,687,685,0.90000000000000002,0.90000000000000002,0
102,0.69999999999999996,0.69999999999999996,0.69999999999999996,0.69999999999999996,0.69999999999999996,0,0,0,0,990,830,0.69999999999999996,0.69999999999999996,0
103,0.80000000000000004,0.80000000000000004,0.80000000000000004,0.80000000000000004,0.80000000000000004,0,0,0,0,823,804,0.80000000000000004,0.80000000000000004,0
104,0.90000000000000002,0.90000000000000002,0.90000000000000002,0.90000000000000002,0.90000000000000002,0,0,0,0,522,647,0.90000000000000002,0.90000000000000002,0
