sample,query_id,base_id,other_id,exact,pq,absolute_relative_error,reconstruction_l2,order_inversion,adc_reference_error
6163,5337,881486,297250,1.8057675361633301,1.7377892732620239,0.03764507919549942,0.29093331098556519,0,3.5762786865234375e-07
6164,8200,524871,872774,1.7580451965332031,1.703662633895874,0.030933540314435959,0.2939760684967041,0,0
6165,2358,774142,604208,1.9558327198028564,1.8759814500808716,0.040827248245477676,0.27807143330574036,0,3.5762786865234375e-07
6166,6173,616672,465266,1.7003564834594727,1.6073909997940063,0.054674115031957626,0.29659080505371094,0,4.76837158203125e-07
6167,2999,413767,316153,1.9780118465423584,1.9075504541397095,0.035622332245111465,0.29064199328422546,0,5.9604644775390625e-07
6168,2177,207536,797543,2.0229768753051758,1.9405876398086548,0.040726732462644577,0.2844313383102417,0,2.384185791015625e-07
6169,7626,756552,734940,1.7145786285400391,1.6325771808624268,0.047826007008552551,0.29896524548530579,0,1.3113021850585938e-06
6170,5608,596760,291475,1.9159791469573975,1.8359270095825195,0.041781321167945862,0.29113185405731201,0,1.0728836059570312e-06
6171,1907,530167,530086,1.9310044050216675,1.8641257286071777,0.034634139388799667,0.2950737476348877,0,7.152557373046875e-07
6172,3140,881008,371876,1.7147934436798096,1.6312308311462402,0.048730425536632538,0.30460155010223389,0,2.384185791015625e-07
6173,3820,306870,532461,1.9014241695404053,1.8409290313720703,0.031815700232982635,0.28988704085350037,0,4.76837158203125e-07
6174,6359,490815,55937,1.7240308523178101,1.6550388336181641,0.040017854422330856,0.29932418465614319,0,4.76837158203125e-07
6175,7052,29163,162352,1.7900341749191284,1.689434289932251,0.056199979037046432,0.29131421446800232,0,7.152557373046875e-07
6176,4951,447630,766884,1.919568657875061,1.8701381683349609,0.025750832632184029,0.28039366006851196,0,3.5762786865234375e-07
6177,3980,203638,421692,1.7464166879653931,1.6845787763595581,0.035408452153205872,0.2830660343170166,0,1.1920928955078125e-07
6178,8145,159127,517611,1.986309289932251,1.8817260265350342,0.052652053534984589,0.29572615027427673,0,5.9604644775390625e-07
6179,3010,400737,426675,1.8109482526779175,1.7180912494659424,0.051275350153446198,0.29304930567741394,0,3.5762786865234375e-07
6180,2629,298927,880615,1.9088202714920044,1.8303267955780029,0.041121460497379303,0.29834377765655518,0,9.5367431640625e-07
6181,2070,174519,303572,1.6407003402709961,1.5884162187576294,0.031866952776908875,0.29027834534645081,0,1.1920928955078125e-07
6182,5869,367847,493172,1.9362103939056396,1.8268371820449829,0.056488290429115295,0.30512949824333191,0,2.384185791015625e-07
6183,219,952660,932782,1.6960017681121826,1.6633172035217285,0.019271539524197578,0.29284524917602539,0,2.384185791015625e-07
6184,5386,205339,509021,1.6872044801712036,1.5984189510345459,0.052622862160205841,0.29127645492553711,0,1.3113021850585938e-06
6185,392,85113,656642,1.771919846534729,1.6985902786254883,0.041384246200323105,0.29012447595596313,0,1.1920928955078125e-07
6186,8342,718087,899242,2.0316205024719238,1.8735150098800659,0.077822357416152954,0.30701074004173279,0,8.3446502685546875e-07
6187,9106,273258,844033,2.0648365020751953,1.9447178840637207,0.058173429220914841,0.29738965630531311,0,0
6188,7649,213905,166317,2.0041799545288086,1.9113813638687134,0.046302523463964462,0.29211965203285217,0,3.5762786865234375e-07
6189,2107,272026,153321,1.7946381568908691,1.7110422849655151,0.046580906957387924,0.29599744081497192,0,9.5367431640625e-07
6190,4432,25872,10651,1.775010347366333,1.6821938753128052,0.052290666848421097,0.29820308089256287,0,2.384185791015625e-07
6191,5339,683847,987025,1.563291072845459,1.5117343664169312,0.03297959640622139,0.28319498896598816,0,1.1920928955078125e-07
6192,9757,95548,367407,1.8600008487701416,1.7704392671585083,0.048151366412639618,0.29239848256111145,0,4.76837158203125e-07
6193,7313,809790,672410,1.5877842903137207,1.5129108428955078,0.04715593159198761,0.29390856623649597,0,7.152557373046875e-07
6194,6074,403110,351075,1.9021973609924316,1.8048648834228516,0.051168441772460938,0.30170851945877075,0,4.76837158203125e-07
6195,4198,861689,331070,1.7249705791473389,1.6531399488449097,0.041641656309366226,0.30296468734741211,0,3.5762786865234375e-07
6196,2230,219997,966470,1.548958420753479,1.4940588474273682,0.03544289618730545,0.28469008207321167,0,7.152557373046875e-07
6197,7786,850423,392737,1.8884533643722534,1.8195877075195312,0.036466695368289948,0.28320899605751038,0,2.384185791015625e-07
6198,1983,48033,243713,1.7355328798294067,1.6659575700759888,0.040088731795549393,0.28752565383911133,0,2.384185791015625e-07
6199,6813,852099,908614,1.9347056150436401,1.7998214960098267,0.069718159735202789,0.30212774872779846,0,1.1920928955078125e-07
6200,7689,42923,429917,1.7668641805648804,1.6485152244567871,0.066982485353946686,0.29934307932853699,0,4.76837158203125e-07
6201,5868,797030,851496,1.8811992406845093,1.7766443490982056,0.055578850209712982,0.30865019559860229,0,1.1920928955078125e-06
6202,1346,967015,535369,1.9566867351531982,1.8862224817276001,0.036012027412652969,0.29314053058624268,0,1.0728836059570312e-06
6203,8600,173806,913707,1.864964485168457,1.7920342683792114,0.03910541906952858,0.29340651631355286,0,5.9604644775390625e-07
6204,3325,806191,962094,1.8985264301300049,1.8108328580856323,0.046190336346626282,0.30316692590713501,0,3.5762786865234375e-07
6205,4496,589458,292584,1.7184643745422363,1.6237760782241821,0.055100530385971069,0.29431182146072388,0,7.152557373046875e-07
6206,8500,711063,563695,1.989288330078125,1.8536616563796997,0.068178489804267883,0.30942890048027039,0,5.9604644775390625e-07
6207,4225,126469,295823,1.9206502437591553,1.834593653678894,0.044805966317653656,0.28829088807106018,0,5.9604644775390625e-07
6208,7070,220687,496231,1.6994644403457642,1.6464636325836182,0.031186770647764206,0.29966393113136292,0,2.384185791015625e-07
6209,6175,185239,836409,1.8152456283569336,1.7265990972518921,0.048834454268217087,0.29342731833457947,1,1.1920928955078125e-07
6210,287,74454,109102,2.0274081230163574,1.8991876840591431,0.063243523240089417,0.31731507182121277,0,7.152557373046875e-07
6211,7882,851446,842700,1.6775562763214111,1.6111195087432861,0.039603300392627716,0.29151719808578491,1,5.9604644775390625e-07
6212,6557,143585,518399,1.756919264793396,1.6768965721130371,0.045547164976596832,0.29849305748939514,0,2.384185791015625e-07
6213,9108,263873,247666,1.8786262273788452,1.7611784934997559,0.062517881393432617,0.30112838745117188,1,1.0728836059570312e-06
6214,2203,34733,639504,1.6864349842071533,1.5945979356765747,0.054456323385238647,0.29694893956184387,0,1.1920928955078125e-07
6215,6185,125918,903761,1.7161920070648193,1.6440838575363159,0.042016364634037018,0.29738941788673401,0,5.9604644775390625e-07
6216,7465,737800,440797,1.6652634143829346,1.5831900835037231,0.049285493791103363,0.29420188069343567,0,1.1920928955078125e-06
6217,5357,153052,705336,1.8657369613647461,1.7385655641555786,0.068161480128765106,0.30275005102157593,0,5.9604644775390625e-07
6218,3471,969988,356637,1.674447774887085,1.6060625314712524,0.040840476751327515,0.28849112987518311,0,3.5762786865234375e-07
6219,2066,141475,447986,1.8373314142227173,1.7313543558120728,0.057679880410432816,0.31298813223838806,0,5.9604644775390625e-07
6220,4412,847569,544892,1.8264143466949463,1.7613068819046021,0.035647697746753693,0.28934672474861145,0,5.9604644775390625e-07
6221,8826,593907,224416,1.6132271289825439,1.5311930179595947,0.050850935280323029,0.29132455587387085,0,2.384185791015625e-07
6222,6258,297774,540028,1.7312920093536377,1.64095139503479,0.05218103900551796,0.29593700170516968,0,1.1920928955078125e-07
6223,2222,513697,92173,1.6526857614517212,1.5874097347259521,0.03949693962931633,0.29048776626586914,0,3.5762786865234375e-07
6224,121,358303,140117,2.0173618793487549,1.8709040880203247,0.072598673403263092,0.30202904343605042,0,1.1920928955078125e-07
6225,9649,513886,155088,1.8533288240432739,1.8122432231903076,0.022168543189764023,0.28468537330627441,0,4.76837158203125e-07
6226,9502,475735,896651,1.6778073310852051,1.6270455121994019,0.030254855751991272,0.29388397932052612,0,8.3446502685546875e-07
6227,4664,298866,132043,1.8367162942886353,1.7740923166275024,0.03409561887383461,0.28785863518714905,0,0
6228,5784,410689,33525,1.7971329689025879,1.6992729902267456,0.054453387856483459,0.28987130522727966,0,9.5367431640625e-07
6229,8379,959999,641947,1.8400123119354248,1.8086388111114502,0.017050702124834061,0.29342442750930786,0,7.152557373046875e-07
6230,1608,13703,216074,1.8446965217590332,1.7533694505691528,0.049507912248373032,0.30174759030342102,0,1.1920928955078125e-07
6231,1369,929913,448686,1.9878313541412354,1.8979442119598389,0.04521869495511055,0.29537886381149292,0,2.384185791015625e-07
6232,8418,66949,933392,1.8888827562332153,1.8203979730606079,0.036256767809391022,0.28529885411262512,0,7.152557373046875e-07
6233,1274,768434,895429,1.7450358867645264,1.6540678739547729,0.052129592746496201,0.29186192154884338,0,1.1920928955078125e-07
6234,2570,664929,868196,1.85996413230896,1.7665550708770752,0.050220895558595657,0.30187231302261353,0,1.1920928955078125e-07
6235,414,486993,770140,1.8499100208282471,1.7618165016174316,0.047620434314012527,0.29993423819541931,0,7.152557373046875e-07
6236,4847,388698,346172,1.9465930461883545,1.7938379049301147,0.078473076224327087,0.29670852422714233,0,2.384185791015625e-07
