stratum,category,descriptor,queries,mean,median,p90,p95,p99,min,max
all,Robust,oracle_recall,647,0.8097372488408039,0.8,1.0,1.0,1.0,0.1,1.0
all,Occasionally harmful,oracle_recall,1812,0.9080573951434879,0.9,1.0,1.0,1.0,0.4,1.0
all,Usually harmful,oracle_recall,3841,0.9659984379067953,1.0,1.0,1.0,1.0,0.5,1.0
all,Persistently harmful,oracle_recall,3700,0.986972972972973,1.0,1.0,1.0,1.0,0.6,1.0
oracle1,Robust,d1,161,26527.372670807454,23518.0,48409.0,55812.0,66143.80000000002,2007.0,68689.0
oracle1,Occasionally harmful,d1,835,31503.565269461076,30286.0,53587.0,60035.99999999999,71130.13999999996,1479.0,78175.0
oracle1,Usually harmful,d1,2857,33792.05845292265,33512.0,54425.0,60017.399999999994,72080.20000000001,633.0,95624.0
oracle1,Persistently harmful,d1,3283,34546.31739262869,34577.0,56473.0,62593.19999999996,73437.25999999994,433.0,94108.0
oracle1,Robust,dk,161,46189.39751552795,45592.0,70105.0,76578.0,86871.6,8158.0,91320.0
oracle1,Occasionally harmful,dk,835,47021.36766467066,47694.0,69787.8,76033.3,87460.7,5186.0,96544.0
oracle1,Usually harmful,dk,2857,47345.3591179559,47843.0,68974.2,74139.2,86953.28,3735.0,109099.0
oracle1,Persistently harmful,dk,3283,46252.03868413037,46811.0,69041.0,75638.89999999997,86919.9,980.0,119008.0
oracle1,Robust,dk_plus_1,161,48339.627329192546,47439.0,71940.0,79942.0,91186.8,9047.0,93441.0
oracle1,Occasionally harmful,dk_plus_1,835,47999.33532934132,48438.0,70788.40000000001,77210.69999999998,87773.38,5341.0,97192.0
oracle1,Usually harmful,dk_plus_1,2857,47843.97164858243,48368.0,69766.0,75135.59999999999,87996.72,3914.0,109327.0
oracle1,Persistently harmful,dk_plus_1,3283,46568.41516905269,47148.0,69633.8,75868.89999999998,87309.14,1012.0,119842.0
oracle1,Robust,d20,161,53458.34161490683,52711.0,78459.0,85953.0,96300.6,10324.0,97865.0
oracle1,Occasionally harmful,d20,835,51872.6,52304.0,76295.8,82353.19999999997,93465.26,6349.0,104632.0
oracle1,Usually harmful,d20,2857,51160.9611480574,51562.0,73944.2,79750.59999999999,92538.44,4332.0,113408.0
oracle1,Persistently harmful,d20,3283,49353.650624428876,49998.0,73117.0,79964.49999999999,91092.83999999997,1214.0,123586.0
oracle1,Robust,boundary_margin,161,2150.2298136645963,1943.0,4151.0,4692.0,6285.6,58.0,6627.0
oracle1,Occasionally harmful,boundary_margin,835,977.9676646706587,828.0,2017.6,2453.7999999999984,3461.96,0.0,3897.0
oracle1,Usually harmful,boundary_margin,2857,498.61253062653134,373.0,1115.2000000000003,1430.3999999999996,2041.840000000002,0.0,4564.0
oracle1,Persistently harmful,boundary_margin,3283,316.37648492232717,222.0,744.8000000000002,933.8999999999996,1454.0,0.0,2448.0
oracle1,Robust,relative_boundary_margin,161,0.05230626376948446,0.04374276350648586,0.09720818595250126,0.13890434222469475,0.2043970479996214,0.0013426547525348395,0.24173529752928893
oracle1,Occasionally harmful,relative_boundary_margin,835,0.02267115491627109,0.018439468159552136,0.046617579696671456,0.056791075095191726,0.07430847682674256,0.0,0.12018631502984976
oracle1,Usually harmful,relative_boundary_margin,2857,0.01133697418031225,0.008494156020657787,0.024523117148615246,0.03133777493469749,0.048275263084026326,0.0,0.11423882857864176
oracle1,Persistently harmful,relative_boundary_margin,3283,0.0074264567942806045,0.005288461538461539,0.016802028572591436,0.02120383496898253,0.03403240103130257,0.0,0.08522480215670927
oracle1,Robust,boundary_gap_r1,161,2150.2298136645963,1943.0,4151.0,4692.0,6285.6,58.0,6627.0
oracle1,Occasionally harmful,boundary_gap_r1,835,977.9676646706587,828.0,2017.6,2453.7999999999984,3461.96,0.0,3897.0
oracle1,Usually harmful,boundary_gap_r1,2857,498.61253062653134,373.0,1115.2000000000003,1430.3999999999996,2041.840000000002,0.0,4564.0
oracle1,Persistently harmful,boundary_gap_r1,3283,316.37648492232717,222.0,744.8000000000002,933.8999999999996,1454.0,0.0,2448.0
oracle1,Robust,boundary_gap_r2,161,4295.39751552795,3891.0,6882.0,7898.0,12638.200000000004,882.0,14663.0
oracle1,Occasionally harmful,boundary_gap_r2,835,2443.4443113772454,2196.0,4012.4,4830.899999999999,6528.459999999999,226.0,14903.0
oracle1,Usually harmful,boundary_gap_r2,2857,1575.980399019951,1381.0,2785.6000000000004,3392.7999999999984,4897.84,12.0,7525.0
oracle1,Persistently harmful,boundary_gap_r2,3283,1038.3213524215657,887.0,1927.6000000000004,2350.5999999999985,3484.0399999999954,5.0,7230.0
oracle1,Robust,boundary_gap_r5,161,10015.285714285714,8319.0,16438.0,22910.0,34515.60000000002,1821.0,39675.0
oracle1,Occasionally harmful,boundary_gap_r5,835,6463.020359281437,5904.0,10068.2,12176.099999999999,17997.03999999999,804.0,28422.0
oracle1,Usually harmful,boundary_gap_r5,2857,4944.180609030452,4497.0,7823.200000000001,9269.799999999997,13082.280000000004,642.0,39738.0
oracle1,Persistently harmful,boundary_gap_r5,3283,3814.8065793481574,3435.0,6320.200000000001,7495.899999999996,10702.939999999995,170.0,26472.0
oracle1,Robust,local_distance_concentration,161,1.8498149821021108,1.0129055646184522,3.7028831562974203,5.6499840950058315,12.09886891311735,0.16255221340641368,20.390134529147982
oracle1,Occasionally harmful,local_distance_concentration,835,1.224192009670014,0.5001390648660342,2.9179933295727305,4.561571728494219,9.889172322182135,0.11020065552801983,27.13184584178499
