query_id,recall_exact,recall_pq,recall_candidate_oracle,recall_all16,recall_exact_oracle,delta_exact_control,total_loss,discovery_loss,ranking_loss,exact_l0_count,pq_l0_count,coverage_exact,coverage_pq,top16_boundary_tie
2984,0.90000000000000002,0.90000000000000002,0.90000000000000002,0.90000000000000002,0.90000000000000002,0,0,0,0,584,569,0.90000000000000002,0.90000000000000002,0
2985,0.59999999999999998,0.59999999999999998,0.59999999999999998,0.59999999999999998,0.59999999999999998,0,0,0,0,721,697,0.59999999999999998,0.59999999999999998,0
2986,0.80000000000000004,0.80000000000000004,0.80000000000000004,0.80000000000000004,0.80000000000000004,0,0,0,0,548,539,0.80000000000000004,0.80000000000000004,0
2987,1,0.90000000000000002,1,1,1,0,0.099999999999999978,0,0.099999999999999978,602,599,1,1,0
2988,1,1,1,1,1,0,0,0,0,587,618,1,1,0
2989,1,1,1,1,1,0,0,0,0,367,455,1,1,0
2990,1,1,1,1,1,0,0,0,0,431,431,1,1,0
2991,0.69999999999999996,0.69999999999999996,0.69999999999999996,0.69999999999999996,0.69999999999999996,0,0,0,0,751,754,0.69999999999999996,0.69999999999999996,0
2992,0.90000000000000002,0.90000000000000002,0.90000000000000002,0.90000000000000002,0.90000000000000002,0,0,0,0,890,860,0.90000000000000002,0.90000000000000002,0
2993,0.90000000000000002,0.80000000000000004,0.90000000000000002,0.90000000000000002,0.90000000000000002,0,0.099999999999999978,0,0.099999999999999978,648,605,0.90000000000000002,0.90000000000000002,0
2994,1,1,1,1,1,0,0,0,0,806,781,1,1,0
2995,1,1,1,1,1,0,0,0,0,517,522,1,1,0
2996,1,0.90000000000000002,1,1,1,0,0.099999999999999978,0,0.099999999999999978,749,739,1,1,0
2997,0.90000000000000002,0.90000000000000002,0.90000000000000002,0.90000000000000002,0.90000000000000002,0,0,0,0,675,673,0.90000000000000002,0.90000000000000002,0
2998,1,0.90000000000000002,1,1,1,0,0.099999999999999978,0,0.099999999999999978,501,507,1,1,0
2999,0.20000000000000001,0.20000000000000001,0.20000000000000001,0.20000000000000001,0.20000000000000001,0,0,0,0,585,571,0.20000000000000001,0.20000000000000001,0
3000,0.90000000000000002,0.90000000000000002,0.90000000000000002,0.90000000000000002,0.90000000000000002,0,0,0,0,543,524,0.90000000000000002,0.90000000000000002,0
3001,0.29999999999999999,0.29999999999999999,0.29999999999999999,0.29999999999999999,0.29999999999999999,0,0,0,0,601,624,0.29999999999999999,0.29999999999999999,0
3002,1,0.90000000000000002,1,1,1,0,0.099999999999999978,0,0.099999999999999978,615,615,1,1,0
3003,0.29999999999999999,0.29999999999999999,0.29999999999999999,0.29999999999999999,0.29999999999999999,0,0,0,0,764,807,0.29999999999999999,0.29999999999999999,0
3004,1,1,1,1,1,0,0,0,0,609,492,1,1,0
3005,0.80000000000000004,0.69999999999999996,0.69999999999999996,0.69999999999999996,0.80000000000000004,0,0.10000000000000009,0.10000000000000009,0,752,734,0.80000000000000004,0.69999999999999996,0
3006,1,1,1,1,1,0,0,0,0,788,796,1,1,0
3007,0.90000000000000002,0.90000000000000002,0.90000000000000002,0.90000000000000002,0.90000000000000002,0,0,0,0,616,635,0.90000000000000002,0.90000000000000002,0
3008,1,1,1,1,1,0,0,0,0,414,423,1,1,0
3009,1,1,1,1,1,0,0,0,0,504,509,1,1,0
3010,1,0.90000000000000002,1,1,1,0,0.099999999999999978,0,0.099999999999999978,681,756,1,1,0
3011,1,1,1,1,1,0,0,0,0,695,707,1,1,0
3012,0.80000000000000004,0.90000000000000002,1,1,0.80000000000000004,0,-0.099999999999999978,-0.19999999999999996,0.099999999999999978,638,834,0.80000000000000004,1,0
3013,1,1,1,1,1,0,0,0,0,1115,1069,1,1,0
3014,1,1,1,1,1,0,0,0,0,657,723,1,1,0
3015,1,1,1,1,1,0,0,0,0,611,611,1,1,0
3016,0.90000000000000002,0.90000000000000002,0.90000000000000002,0.90000000000000002,0.90000000000000002,0,0,0,0,782,782,0.90000000000000002,0.90000000000000002,0
3017,1,1,1,1,1,0,0,0,0,546,729,1,1,0
3018,1,1,1,1,1,0,0,0,0,506,506,1,1,0
3019,1,0.90000000000000002,1,1,1,0,0.099999999999999978,0,0.099999999999999978,903,1016,1,1,0
3020,0,0,0,0,0,0,0,0,0,747,771,0,0,0
3021,1,1,1,1,1,0,0,0,0,267,267,1,1,0
3022,1,1,1,1,1,0,0,0,0,475,986,1,1,0
3023,0.90000000000000002,1,1,1,0.90000000000000002,0,-0.099999999999999978,-0.099999999999999978,0,765,1207,0.90000000000000002,1,0
3024,1,1,1,1,1,0,0,0,0,652,646,1,1,0
3025,1,1,1,1,1,0,0,0,0,308,308,1,1,0
3026,1,1,1,1,1,0,0,0,0,742,589,1,1,0
3027,1,0.90000000000000002,1,1,1,0,0.099999999999999978,0,0.099999999999999978,411,756,1,1,0
3028,1,1,1,1,1,0,0,0,0,649,636,1,1,0
3029,1,1,1,1,1,0,0,0,0,660,684,1,1,0
3030,1,1,1,1,1,0,0,0,0,721,769,1,1,0
3031,0.59999999999999998,0.90000000000000002,0.90000000000000002,0.90000000000000002,0.59999999999999998,0,-0.30000000000000004,-0.30000000000000004,0,683,728,0.59999999999999998,0.90000000000000002,0
3032,0.90000000000000002,0.90000000000000002,0.90000000000000002,0.90000000000000002,0.90000000000000002,0,0,0,0,658,711,0.90000000000000002,0.90000000000000002,0
3033,1,1,1,1,1,0,0,0,0,676,676,1,1,0
3034,1,1,1,1,1,0,0,0,0,569,573,1,1,0
3035,0.80000000000000004,0.80000000000000004,0.80000000000000004,0.80000000000000004,0.80000000000000004,0,0,0,0,714,677,0.80000000000000004,0.80000000000000004,0
3036,1,1,1,1,1,0,0,0,0,563,563,1,1,0
3037,0.90000000000000002,0.90000000000000002,0.90000000000000002,0.90000000000000002,0.90000000000000002,0,0,0,0,530,534,0.90000000000000002,0.90000000000000002,0
3038,0.90000000000000002,0.90000000000000002,0.90000000000000002,0.90000000000000002,0.90000000000000002,0,0,0,0,715,745,0.90000000000000002,0.90000000000000002,0
3039,1,1,1,1,1,0,0,0,0,717,736,1,1,0
3040,1,1,1,1,1,0,0,0,0,543,701,1,1,0
3041,1,0.90000000000000002,1,1,1,0,0.099999999999999978,0,0.099999999999999978,741,750,1,1,0
3042,0.90000000000000002,0.80000000000000004,0.90000000000000002,0.90000000000000002,0.90000000000000002,0,0.099999999999999978,0,0.099999999999999978,653,649,0.90000000000000002,0.90000000000000002,0
3043,0.90000000000000002,0.90000000000000002,0.90000000000000002,0.90000000000000002,0.90000000000000002,0,0,0,0,728,727,0.90000000000000002,0.90000000000000002,0
3044,1,1,1,1,1,0,0,0,0,510,629,1,1,0
3045,0.69999999999999996,0.69999999999999996,0.69999999999999996,0.69999999999999996,0.69999999999999996,0,0,0,0,742,737,0.69999999999999996,0.69999999999999996,0
3046,1,1,1,1,1,0,0,0,0,637,611,1,1,0
3047,0.5,0.5,0.5,0.5,0.5,0,0,0,0,767,746,0.5,0.5,0
3048,1,1,1,1,1,0,0,0,0,571,568,1,1,0
3049,0.5,0.5,0.5,0.5,0.5,0,0,0,0,777,823,0.5,0.5,0
3050,1,1,1,1,1,0,0,0,0,380,464,1,1,0
3051,1,1,1,1,1,0,0,0,0,627,628,1,1,0
3052,1,1,1,1,1,0,0,0,0,752,688,1,1,0
3053,0.29999999999999999,0.40000000000000002,0.40000000000000002,0.40000000000000002,0.29999999999999999,0,-0.10000000000000003,-0.10000000000000003,0,806,711,0.29999999999999999,0.40000000000000002,0
3054,1,0.90000000000000002,1,1,1,0,0.099999999999999978,0,0.099999999999999978,352,352,1,1,0
3055,1,1,1,1,1,0,0,0,0,302,302,1,1,0
3056,0.80000000000000004,0.80000000000000004,0.80000000000000004,0.80000000000000004,0.80000000000000004,0,0,0,0,366,416,0.80000000000000004,0.80000000000000004,0
3057,1,0.90000000000000002,1,1,1,0,0.099999999999999978,0,0.099999999999999978,574,576,1,1,0
3058,0.80000000000000004,0.80000000000000004,0.80000000000000004,0.80000000000000004,0.80000000000000004,0,0,0,0,858,814,0.80000000000000004,0.80000000000000004,0
3059,1,1,1,1,1,0,0,0,0,639,627,1,1,0
3060,1,1,1,1,1,0,0,0,0,787,775,1,1,0
3061,1,1,1,1,1,0,0,0,0,818,1235,1,1,0
3062,1,1,1,1,1,0,0,0,0,589,593,1,1,0
3063,0.10000000000000001,0.10000000000000001,0.10000000000000001,0.10000000000000001,0.10000000000000001,0,0,0,0,654,686,0.10000000000000001,0.10000000000000001,0
3064,1,1,1,1,1,0,0,0,0,808,802,1,1,0
3065,1,1,1,1,1,0,0,0,0,663,695,1,1,0
3066,1,1,1,1,1,0,0,0,0,770,773,1,1,0
3067,1,1,1,1,1,0,0,0,0,458,460,1,1,0
3068,0.69999999999999996,0.69999999999999996,0.69999999999999996,0.69999999999999996,0.69999999999999996,0,0,0,0,813,832,0.69999999999999996,0.69999999999999996,0
3069,1,1,1,1,1,0,0,0,0,860,970,1,1,0
3070,1,0.90000000000000002,1,1,1,0,0.099999999999999978,0,0.099999999999999978,635,671,1,1,0
3071,0.59999999999999998,0.59999999999999998,0.59999999999999998,0.59999999999999998,0.59999999999999998,0,0,0,0,669,651,0.59999999999999998,0.59999999999999998,0
3072,1,1,1,1,1,0,0,0,0,674,670,1,1,0
3073,0.90000000000000002,0.90000000000000002,0.90000000000000002,0.90000000000000002,0.90000000000000002,0,0,0,0,447,447,0.90000000000000002,0.90000000000000002,0
3074,0.20000000000000001,0.90000000000000002,0.90000000000000002,0.90000000000000002,0.20000000000000001,0,-0.69999999999999996,-0.69999999999999996,0,867,1173,0.20000000000000001,0.90000000000000002,0
3075,0,0.90000000000000002,1,1,0,0,-0.90000000000000002,-1,0.099999999999999978,909,828,0,1,0
3076,1,1,1,1,1,0,0,0,0,460,461,1,1,0
3077,1,1,1,1,1,0,0,0,0,705,691,1,1,0
3078,0.90000000000000002,0.90000000000000002,0.90000000000000002,0.90000000000000002,0.90000000000000002,0,0,0,0,719,817,0.90000000000000002,0.90000000000000002,0
3079,0.90000000000000002,1,1,1,0.90000000000000002,0,-0.099999999999999978,-0.099999999999999978,0,683,744,0.90000000000000002,1,0
3080,1,1,1,1,1,0,0,0,0,480,434,1,1,0
3081,1,1,1,1,1,0,0,0,0,413,413,1,1,0
3082,1,0.90000000000000002,1,1,1,0,0.099999999999999978,0,0.099999999999999978,934,890,1,1,0
3083,1,1,1,1,1,0,0,0,0,654,657,1,1,0
3084,0.80000000000000004,0.80000000000000004,0.80000000000000004,0.80000000000000004,0.80000000000000004,0,0,0,0,583,445,0.80000000000000004,0.80000000000000004,0
3085,0.90000000000000002,0.90000000000000002,0.90000000000000002,0.90000000000000002,0.90000000000000002,0,0,0,0,685,782,0.90000000000000002,0.90000000000000002,0
3086,1,0.80000000000000004,1,1,1,0,0.19999999999999996,0,0.19999999999999996,440,449,1,1,0
3087,0.90000000000000002,0.90000000000000002,0.90000000000000002,0.90000000000000002,0.90000000000000002,0,0,0,0,415,429,0.90000000000000002,0.90000000000000002,0
3088,0.90000000000000002,0.80000000000000004,0.90000000000000002,0.90000000000000002,0.90000000000000002,0,0.099999999999999978,0,0.099999999999999978,1164,1092,0.90000000000000002,0.90000000000000002,0
3089,1,1,1,1,1,0,0,0,0,470,470,1,1,0
3090,1,0.90000000000000002,1,1,1,0,0.099999999999999978,0,0.099999999999999978,889,849,1,1,0
3091,0.90000000000000002,0.90000000000000002,0.90000000000000002,0.90000000000000002,0.90000000000000002,0,0,0,0,776,776,0.90000000000000002,0.90000000000000002,0
3092,0.90000000000000002,0.90000000000000002,0.90000000000000002,0.90000000000000002,0.90000000000000002,0,0,0,0,751,752,0.90000000000000002,0.90000000000000002,0
3093,0.80000000000000004,0.80000000000000004,0.80000000000000004,0.80000000000000004,0.80000000000000004,0,0,0,0,701,698,0.80000000000000004,0.80000000000000004,0
3094,0.80000000000000004,0.80000000000000004,0.80000000000000004,0.80000000000000004,0.80000000000000004,0,0,0,0,763,763,0.80000000000000004,0.80000000000000004,0
3095,0.69999999999999996,0.69999999999999996,0.69999999999999996,0.69999999999999996,0.69999999999999996,0,0,0,0,741,783,0.69999999999999996,0.69999999999999996,0
3096,0.69999999999999996,0.69999999999999996,0.69999999999999996,0.69999999999999996,0.69999999999999996,0,0,0,0,789,892,0.69999999999999996,0.69999999999999996,0
3097,0.90000000000000002,0.90000000000000002,0.90000000000000002,0.90000000000000002,0.90000000000000002,0,0,0,0,708,708,0.90000000000000002,0.90000000000000002,0
3098,0.69999999999999996,0.69999999999999996,0.69999999999999996,0.69999999999999996,0.69999999999999996,0,0,0,0,544,544,0.69999999999999996,0.69999999999999996,0
3099,1,0.90000000000000002,1,1,1,0,0.099999999999999978,0,0.099999999999999978,702,707,1,1,0
3100,1,0.90000000000000002,1,1,1,0,0.099999999999999978,0,0.099999999999999978,975,1168,1,1,0
3101,1,1,1,1,1,0,0,0,0,670,649,1,1,0
3102,0.80000000000000004,0.69999999999999996,0.69999999999999996,0.69999999999999996,0.80000000000000004,0,0.10000000000000009,0.10000000000000009,0,575,496,0.80000000000000004,0.69999999999999996,0
3103,0.80000000000000004,0.80000000000000004,0.90000000000000002,0.90000000000000002,0.80000000000000004,0,0,-0.099999999999999978,0.099999999999999978,609,598,0.80000000000000004,0.90000000000000002,0
3104,1,1,1,1,1,0,0,0,0,588,675,1,1,0
3105,1,0.90000000000000002,1,1,1,0,0.099999999999999978,0,0.099999999999999978,828,812,1,1,0
3106,1,1,1,1,1,0,0,0,0,202,202,1,1,0
3107,0.90000000000000002,0.90000000000000002,0.90000000000000002,0.90000000000000002,0.90000000000000002,0,0,0,0,585,565,0.90000000000000002,0.90000000000000002,0
3108,0.90000000000000002,0.90000000000000002,0.90000000000000002,0.90000000000000002,0.90000000000000002,0,0,0,0,585,557,0.90000000000000002,0.90000000000000002,0
3109,0.80000000000000004,0.80000000000000004,0.80000000000000004,0.80000000000000004,0.80000000000000004,0,0,0,0,787,768,0.80000000000000004,0.80000000000000004,0
3110,1,0.90000000000000002,1,1,1,0,0.099999999999999978,0,0.099999999999999978,616,616,1,1,0
3111,1,0.80000000000000004,0.80000000000000004,0.80000000000000004,1,0,0.19999999999999996,0.19999999999999996,0,643,603,1,0.80000000000000004,0
3112,1,0.90000000000000002,1,1,1,0,0.099999999999999978,0,0.099999999999999978,649,853,1,1,0
3113,1,1,1,1,1,0,0,0,0,494,495,1,1,0
3114,0.69999999999999996,0.69999999999999996,0.69999999999999996,0.69999999999999996,0.69999999999999996,0,0,0,0,748,752,0.69999999999999996,0.69999999999999996,0
3115,1,0.90000000000000002,1,1,1,0,0.099999999999999978,0,0.099999999999999978,362,368,1,1,0
3116,1,0.90000000000000002,1,1,1,0,0.099999999999999978,0,0.099999999999999978,561,544,1,1,0
3117,1,1,1,1,1,0,0,0,0,640,624,1,1,0
3118,1,0.90000000000000002,1,1,1,0,0.099999999999999978,0,0.099999999999999978,505,574,1,1,0
3119,1,1,1,1,1,0,0,0,0,543,543,1,1,0
3120,0.80000000000000004,0.90000000000000002,0.90000000000000002,0.90000000000000002,0.80000000000000004,0,-0.099999999999999978,-0.099999999999999978,0,752,806,0.80000000000000004,0.90000000000000002,0
3121,1,1,1,1,1,0,0,0,0,319,319,1,1,0
