scope,category,descriptor,queries,mean,median,p90,p95,p99,min,max
oracle1,usually vulnerable,candidate_count,2095,984.054415274463,1022.0,1240.0,1292.0,1382.4799999999996,266.0,1553.0
oracle1,usually vulnerable,oracle_recall,2095,1.0,1.0,1.0,1.0,1.0,1.0,1.0
oracle1,rotation-persistent,d1,4417,34437.175232057954,34571.0,55807.2,61504.99999999998,72292.76000000001,433.0,95624.0
oracle1,rotation-persistent,dk,4417,46306.51369707946,46849.0,69026.4,75129.4,87436.40000000002,980.0,119008.0
oracle1,rotation-persistent,dk_plus_1,4417,46626.85216210097,47215.0,69476.6,75592.4,88001.92,1012.0,119842.0
oracle1,rotation-persistent,d20,4417,49425.396649309485,50043.0,72992.8,79760.8,92548.84,1214.0,123586.0
oracle1,rotation-persistent,boundary_margin,4417,320.33846502150783,231.0,727.0,926.1999999999998,1384.5200000000004,0.0,3426.0
oracle1,rotation-persistent,relative_boundary_margin,4417,0.007497695560374782,0.00551765883640258,0.0168113310014216,0.02141128349788068,0.03189028162859177,0.0,0.0828636408583012
oracle1,rotation-persistent,boundary_gap_r1,4417,320.33846502150783,231.0,727.0,926.1999999999998,1384.5200000000004,0.0,3426.0
oracle1,rotation-persistent,boundary_gap_r2,4417,1050.914647951098,915.0,1908.8000000000002,2272.2,3238.4000000000015,5.0,6888.0
oracle1,rotation-persistent,boundary_gap_r5,4417,3844.8849898120898,3489.0,6260.800000000001,7413.599999999999,10194.240000000009,170.0,28422.0
oracle1,rotation-persistent,local_distance_concentration,4417,0.7078272017476592,0.3626663034100713,1.2293313797138972,2.4839623995165985,6.958381806315617,0.0685879044399625,20.309745762711863
oracle1,rotation-persistent,candidate_count,4417,991.5983699343445,1034.0,1249.0,1301.0,1399.8400000000001,247.0,1722.0
oracle1,rotation-persistent,oracle_recall,4417,1.0,1.0,1.0,1.0,1.0,1.0,1.0
