scope,descriptor,model,realized_loss_spearman,mean_loss_spearman
oracle1,dk_plus_1,R2-I3,-0.040545278796932066,-0.07139309498265728
oracle1,dk_plus_1,R3-I1,-0.04332452300607761,-0.07139309498265728
oracle1,dk_plus_1,R3-I2,-0.038060328435954,-0.07139309498265728
oracle1,dk_plus_1,R3-I3,-0.04871785841403241,-0.07139309498265728
oracle1,dk_plus_1,R4-I1,-0.05875244508112598,-0.07139309498265728
oracle1,dk_plus_1,R4-I2,-0.043432073877624836,-0.07139309498265728
oracle1,dk_plus_1,R4-I3,-0.04118017779634261,-0.07139309498265728
oracle1,d20,R0-I1,-0.05979758747321851,-0.10501174141168326
oracle1,d20,R0-I2,-0.047840905275449014,-0.10501174141168326
oracle1,d20,R0-I3,-0.06687058570247058,-0.10501174141168326
oracle1,d20,R1-I1,-0.07925710876956059,-0.10501174141168326
oracle1,d20,R1-I2,-0.05797926275892426,-0.10501174141168326
oracle1,d20,R1-I3,-0.07606943229044391,-0.10501174141168326
oracle1,d20,R2-I1,-0.05807900835059319,-0.10501174141168326
oracle1,d20,R2-I2,-0.06735380077175647,-0.10501174141168326
oracle1,d20,R2-I3,-0.06147571245432472,-0.10501174141168326
oracle1,d20,R3-I1,-0.0642761156099508,-0.10501174141168326
oracle1,d20,R3-I2,-0.0588389344642581,-0.10501174141168326
oracle1,d20,R3-I3,-0.06988733430184532,-0.10501174141168326
oracle1,d20,R4-I1,-0.07917637526446267,-0.10501174141168326
oracle1,d20,R4-I2,-0.06274476500321657,-0.10501174141168326
oracle1,d20,R4-I3,-0.06253024950760955,-0.10501174141168326
oracle1,boundary_margin,R0-I1,-0.3149413520472811,-0.5170752577950961
oracle1,boundary_margin,R0-I2,-0.3096990444717787,-0.5170752577950961
oracle1,boundary_margin,R0-I3,-0.33377857080950346,-0.5170752577950961
oracle1,boundary_margin,R1-I1,-0.3070097388652283,-0.5170752577950961
oracle1,boundary_margin,R1-I2,-0.314049911499241,-0.5170752577950961
oracle1,boundary_margin,R1-I3,-0.33803289935129516,-0.5170752577950961
oracle1,boundary_margin,R2-I1,-0.311706174757718,-0.5170752577950961
oracle1,boundary_margin,R2-I2,-0.311786260394206,-0.5170752577950961
oracle1,boundary_margin,R2-I3,-0.3101561595293431,-0.5170752577950961
oracle1,boundary_margin,R3-I1,-0.31065887451016877,-0.5170752577950961
oracle1,boundary_margin,R3-I2,-0.30550538666660537,-0.5170752577950961
oracle1,boundary_margin,R3-I3,-0.33019787526874866,-0.5170752577950961
oracle1,boundary_margin,R4-I1,-0.32681128349054606,-0.5170752577950961
oracle1,boundary_margin,R4-I2,-0.30138707572025536,-0.5170752577950961
oracle1,boundary_margin,R4-I3,-0.3160238200274736,-0.5170752577950961
oracle1,relative_boundary_margin,R0-I1,-0.3030539231187418,-0.49362581876872974
oracle1,relative_boundary_margin,R0-I2,-0.3041819758920946,-0.49362581876872974
oracle1,relative_boundary_margin,R0-I3,-0.31977630682418046,-0.49362581876872974
oracle1,relative_boundary_margin,R1-I1,-0.28751078919376893,-0.49362581876872974
oracle1,relative_boundary_margin,R1-I2,-0.3026259575646742,-0.49362581876872974
oracle1,relative_boundary_margin,R1-I3,-0.318425297346991,-0.49362581876872974
oracle1,relative_boundary_margin,R2-I1,-0.2985189258581703,-0.49362581876872974
oracle1,relative_boundary_margin,R2-I2,-0.2960461816446774,-0.49362581876872974
oracle1,relative_boundary_margin,R2-I3,-0.2928942474421985,-0.49362581876872974
oracle1,relative_boundary_margin,R3-I1,-0.2968124061158259,-0.49362581876872974
oracle1,relative_boundary_margin,R3-I2,-0.29116973992443135,-0.49362581876872974
oracle1,relative_boundary_margin,R3-I3,-0.3129274120829168,-0.49362581876872974
oracle1,relative_boundary_margin,R4-I1,-0.3043403660853854,-0.49362581876872974
oracle1,relative_boundary_margin,R4-I2,-0.28640588498425146,-0.49362581876872974
oracle1,relative_boundary_margin,R4-I3,-0.29838082780218605,-0.49362581876872974
oracle1,boundary_gap_r1,R0-I1,-0.3149413520472811,-0.5170752577950961
oracle1,boundary_gap_r1,R0-I2,-0.3096990444717787,-0.5170752577950961
oracle1,boundary_gap_r1,R0-I3,-0.33377857080950346,-0.5170752577950961
oracle1,boundary_gap_r1,R1-I1,-0.3070097388652283,-0.5170752577950961
oracle1,boundary_gap_r1,R1-I2,-0.314049911499241,-0.5170752577950961
oracle1,boundary_gap_r1,R1-I3,-0.33803289935129516,-0.5170752577950961
oracle1,boundary_gap_r1,R2-I1,-0.311706174757718,-0.5170752577950961
oracle1,boundary_gap_r1,R2-I2,-0.311786260394206,-0.5170752577950961
oracle1,boundary_gap_r1,R2-I3,-0.3101561595293431,-0.5170752577950961
oracle1,boundary_gap_r1,R3-I1,-0.31065887451016877,-0.5170752577950961
oracle1,boundary_gap_r1,R3-I2,-0.30550538666660537,-0.5170752577950961
oracle1,boundary_gap_r1,R3-I3,-0.33019787526874866,-0.5170752577950961
oracle1,boundary_gap_r1,R4-I1,-0.32681128349054606,-0.5170752577950961
oracle1,boundary_gap_r1,R4-I2,-0.30138707572025536,-0.5170752577950961
oracle1,boundary_gap_r1,R4-I3,-0.3160238200274736,-0.5170752577950961
oracle1,boundary_gap_r2,R0-I1,-0.42430487863109106,-0.7391215116095753
oracle1,boundary_gap_r2,R0-I2,-0.42150029849428533,-0.7391215116095753
oracle1,boundary_gap_r2,R0-I3,-0.4306754141210799,-0.7391215116095753
oracle1,boundary_gap_r2,R1-I1,-0.43179559092039577,-0.7391215116095753
oracle1,boundary_gap_r2,R1-I2,-0.43752502799239085,-0.7391215116095753
oracle1,boundary_gap_r2,R1-I3,-0.46093624865258476,-0.7391215116095753
oracle1,boundary_gap_r2,R2-I1,-0.4423994851182199,-0.7391215116095753
