model,scope,metric,permutation,value
R0-I1,oracle1,inversions,27,9.13747197309417
R0-I1,oracle1,inversions,28,9.091227578475337
R0-I1,oracle1,inversions,29,9.10762331838565
R0-I1,oracle1,inversions,30,9.123038116591928
R0-I1,oracle1,inversions,31,8.983604260089686
R0-I1,oracle1,inversions,32,9.199411434977579
R0-I1,oracle1,inversions,33,9.308015695067265
R0-I1,oracle1,inversions,34,9.256726457399104
R0-I1,oracle1,inversions,35,9.304232062780269
R0-I1,oracle1,inversions,36,9.348094170403588
R0-I1,oracle1,inversions,37,9.294843049327355
R0-I1,oracle1,inversions,38,9.132146860986547
R0-I1,oracle1,inversions,39,9.136911434977579
R0-I1,oracle1,inversions,40,9.193245515695068
R0-I1,oracle1,inversions,41,9.178811659192824
R0-I1,oracle1,inversions,42,9.100336322869955
R0-I1,oracle1,inversions,43,9.213004484304932
R0-I1,oracle1,inversions,44,9.216507847533633
R0-I1,oracle1,inversions,45,9.35762331838565
R0-I1,oracle1,inversions,46,9.265835201793722
R0-I1,oracle1,inversions,47,8.95487668161435
R0-I1,oracle1,inversions,48,9.255885650224215
R0-I1,oracle1,inversions,49,9.213565022421525
R0-I1,oracle1,harmful_fraction,0,0.8936378923766816
R0-I1,oracle1,harmful_fraction,1,0.8939181614349776
R0-I1,oracle1,harmful_fraction,2,0.8866311659192825
R0-I1,oracle1,harmful_fraction,3,0.8920964125560538
R0-I1,oracle1,harmful_fraction,4,0.890835201793722
R0-I1,oracle1,harmful_fraction,5,0.8923766816143498
R0-I1,oracle1,harmful_fraction,6,0.8954596412556054
R0-I1,oracle1,harmful_fraction,7,0.890554932735426
R0-I1,oracle1,harmful_fraction,8,0.8853699551569507
R0-I1,oracle1,harmful_fraction,9,0.8936378923766816
R0-I1,oracle1,harmful_fraction,10,0.8870515695067265
R0-I1,oracle1,harmful_fraction,11,0.890835201793722
R0-I1,oracle1,harmful_fraction,12,0.8899943946188341
R0-I1,oracle1,harmful_fraction,13,0.8941984304932735
R0-I1,oracle1,harmful_fraction,14,0.8895739910313901
R0-I1,oracle1,harmful_fraction,15,0.8961603139013453
R0-I1,oracle1,harmful_fraction,16,0.8923766816143498
R0-I1,oracle1,harmful_fraction,17,0.8923766816143498
R0-I1,oracle1,harmful_fraction,18,0.8888733183856502
R0-I1,oracle1,harmful_fraction,19,0.8918161434977578
