scope,L,fraction,policy,metric,recall,random_mean,random_p975,advantage,exceeds_random_p975,candidate_recoverable_gap
shard2,64,0.5,GAP,"tie-aware recall, unchanged primary selections",0.91568,0.9033087999999999,0.905122,0.012371200000000138,True,0.10092000000000001
shard2,64,0.5,ORACLE-QUERY,"tie-aware recall, unchanged primary selections",0.93124,0.9033087999999999,0.905122,0.027931200000000045,True,0.10092000000000001
shard2,64,0.5,FULL-LOSS-SELECTOR,"tie-aware recall, unchanged primary selections",0.93124,0.9033087999999999,0.905122,0.027931200000000045,True,0.10092000000000001
shard3,16,0.1,GAP,"tie-aware recall, unchanged primary selections",0.8634,0.8593084000000001,0.86036,0.004091599999999862,True,0.09903999999999999
shard3,16,0.1,ORACLE-QUERY,"tie-aware recall, unchanged primary selections",0.87356,0.8593084000000001,0.86036,0.01425159999999992,True,0.09903999999999999
shard3,16,0.1,FULL-LOSS-SELECTOR,"tie-aware recall, unchanged primary selections",0.87204,0.8593084000000001,0.86036,0.012731599999999954,True,0.09903999999999999
shard3,16,0.25,GAP,"tie-aware recall, unchanged primary selections",0.88068,0.8726476,0.87388,0.00803240000000005,True,0.09903999999999999
shard3,16,0.25,ORACLE-QUERY,"tie-aware recall, unchanged primary selections",0.899,0.8726476,0.87388,0.026352400000000054,True,0.09903999999999999
shard3,16,0.25,FULL-LOSS-SELECTOR,"tie-aware recall, unchanged primary selections",0.89848,0.8726476,0.87388,0.025832399999999978,True,0.09903999999999999
shard3,16,0.5,GAP,"tie-aware recall, unchanged primary selections",0.90564,0.8948736000000003,0.8962,0.010766399999999732,True,0.09903999999999999
shard3,16,0.5,ORACLE-QUERY,"tie-aware recall, unchanged primary selections",0.92416,0.8948736000000003,0.8962,0.029286399999999713,True,0.09903999999999999
shard3,16,0.5,FULL-LOSS-SELECTOR,"tie-aware recall, unchanged primary selections",0.92164,0.8948736000000003,0.8962,0.026766399999999746,True,0.09903999999999999
shard3,32,0.1,GAP,"tie-aware recall, unchanged primary selections",0.86556,0.8603232,0.861322,0.005236800000000041,True,0.09903999999999999
shard3,32,0.1,ORACLE-QUERY,"tie-aware recall, unchanged primary selections",0.87564,0.8603232,0.861322,0.01531680000000002,True,0.09903999999999999
shard3,32,0.1,FULL-LOSS-SELECTOR,"tie-aware recall, unchanged primary selections",0.87564,0.8603232,0.861322,0.01531680000000002,True,0.09903999999999999
shard3,32,0.25,GAP,"tie-aware recall, unchanged primary selections",0.8848,0.8751616,0.8764419999999999,0.009638400000000047,True,0.09903999999999999
shard3,32,0.25,ORACLE-QUERY,"tie-aware recall, unchanged primary selections",0.9054,0.8751616,0.8764419999999999,0.0302384,True,0.09903999999999999
shard3,32,0.25,FULL-LOSS-SELECTOR,"tie-aware recall, unchanged primary selections",0.9054,0.8751616,0.8764419999999999,0.0302384,True,0.09903999999999999
shard3,32,0.5,GAP,"tie-aware recall, unchanged primary selections",0.91244,0.8998972,0.901469,0.012542800000000076,True,0.09903999999999999
shard3,32,0.5,ORACLE-QUERY,"tie-aware recall, unchanged primary selections",0.93048,0.8998972,0.901469,0.03058280000000002,True,0.09903999999999999
shard3,32,0.5,FULL-LOSS-SELECTOR,"tie-aware recall, unchanged primary selections",0.93048,0.8998972,0.901469,0.03058280000000002,True,0.09903999999999999
shard3,64,0.1,GAP,"tie-aware recall, unchanged primary selections",0.86568,0.8603396,0.861322,0.005340400000000023,True,0.09903999999999999
shard3,64,0.1,ORACLE-QUERY,"tie-aware recall, unchanged primary selections",0.87576,0.8603396,0.861322,0.0154204,True,0.09903999999999999
shard3,64,0.1,FULL-LOSS-SELECTOR,"tie-aware recall, unchanged primary selections",0.87576,0.8603396,0.861322,0.0154204,True,0.09903999999999999
shard3,64,0.25,GAP,"tie-aware recall, unchanged primary selections",0.88496,0.8752059999999999,0.876524,0.00975400000000004,True,0.09903999999999999
shard3,64,0.25,ORACLE-QUERY,"tie-aware recall, unchanged primary selections",0.90556,0.8752059999999999,0.876524,0.030354000000000103,True,0.09903999999999999
shard3,64,0.25,FULL-LOSS-SELECTOR,"tie-aware recall, unchanged primary selections",0.90556,0.8752059999999999,0.876524,0.030354000000000103,True,0.09903999999999999
shard3,64,0.5,GAP,"tie-aware recall, unchanged primary selections",0.9126,0.8999792,0.901509,0.012620799999999988,True,0.09903999999999999
shard3,64,0.5,ORACLE-QUERY,"tie-aware recall, unchanged primary selections",0.93064,0.8999792,0.901509,0.030660800000000044,True,0.09903999999999999
shard3,64,0.5,FULL-LOSS-SELECTOR,"tie-aware recall, unchanged primary selections",0.93064,0.8999792,0.901509,0.030660800000000044,True,0.09903999999999999
