scope,descriptor,model,queries,realized_loss_spearman,mean_loss_spearman
oracle1,boundary_gap_r2,C2,7136,-0.43106003954812594,-0.6686495981238113
oracle1,boundary_gap_r2,C3,7136,-0.44816163713066676,-0.6686495981238113
oracle1,boundary_gap_r5,A1,7136,-0.3645793251797571,-0.5773565871069304
oracle1,boundary_gap_r5,A2,7136,-0.36017614149229404,-0.5773565871069304
oracle1,boundary_gap_r5,A3,7136,-0.37438451861797023,-0.5773565871069304
oracle1,boundary_gap_r5,B1,7136,-0.36816929134971693,-0.5773565871069304
oracle1,boundary_gap_r5,B2,7136,-0.37562999154927407,-0.5773565871069304
oracle1,boundary_gap_r5,B3,7136,-0.36140992280287343,-0.5773565871069304
oracle1,boundary_gap_r5,C1,7136,-0.38293736239031334,-0.5773565871069304
oracle1,boundary_gap_r5,C2,7136,-0.37858089673005463,-0.5773565871069304
oracle1,boundary_gap_r5,C3,7136,-0.39082320384103475,-0.5773565871069304
oracle1,local_distance_concentration,A1,7136,-0.17793697648648193,-0.2890440602484307
oracle1,local_distance_concentration,A2,7136,-0.19167810173057345,-0.2890440602484307
oracle1,local_distance_concentration,A3,7136,-0.18817535400299437,-0.2890440602484307
oracle1,local_distance_concentration,B1,7136,-0.18412566053891002,-0.2890440602484307
oracle1,local_distance_concentration,B2,7136,-0.19228238824904217,-0.2890440602484307
oracle1,local_distance_concentration,B3,7136,-0.2047048027454007,-0.2890440602484307
oracle1,local_distance_concentration,C1,7136,-0.1787169629585839,-0.2890440602484307
oracle1,local_distance_concentration,C2,7136,-0.19371471038490048,-0.2890440602484307
oracle1,local_distance_concentration,C3,7136,-0.17537056855246866,-0.2890440602484307
oracle1,candidate_count,A1,7136,0.02385205344546484,0.02543576439054108
oracle1,candidate_count,A2,7136,0.02999440673076325,0.02543576439054108
oracle1,candidate_count,A3,7136,0.0006485275984698408,0.02543576439054108
oracle1,candidate_count,B1,7136,0.008986013113469124,0.02543576439054108
oracle1,candidate_count,B2,7136,0.022110475038898608,0.02543576439054108
oracle1,candidate_count,B3,7136,0.03512399498691772,0.02543576439054108
oracle1,candidate_count,C1,7136,-0.005676214374757183,0.02543576439054108
oracle1,candidate_count,C2,7136,0.009977020431573497,0.02543576439054108
oracle1,candidate_count,C3,7136,-0.013585777526203798,0.02543576439054108
oracle1,oracle_recall,A1,7136,,
oracle1,oracle_recall,A2,7136,,
oracle1,oracle_recall,A3,7136,,
oracle1,oracle_recall,B1,7136,,
oracle1,oracle_recall,B2,7136,,
oracle1,oracle_recall,B3,7136,,
oracle1,oracle_recall,C1,7136,,
oracle1,oracle_recall,C2,7136,,
oracle1,oracle_recall,C3,7136,,
