model,scope,observable,quintile,queries,observable_min,observable_max,observable_mean,mean_loss,harmful_rate
R2-I1,oracle1,g9_12_pq,1,1427,618.28515625,1000.32421875,812.3331888221575,0.1425367904695165,0.905395935529082
R2-I1,oracle1,g9_12_pq,2,1428,1000.4609375,1457.56640625,1219.5838195629815,0.11848739495798319,0.8319327731092437
R2-I1,oracle1,g9_12_pq,3,1426,1458.78125,2142.57421875,1770.9289280274807,0.09614305750350632,0.7482468443197756
R2-I1,oracle1,g9_12_pq,4,1428,2142.7734375,12916.27734375,3180.3124227229955,0.067296918767507,0.5840336134453782
R2-I1,oracle1,relative_g10_11_pq,0,1427,0.0,0.0021547213574710017,0.0009586903383049343,0.14688156972669938,0.9060967063770147
R2-I1,oracle1,relative_g10_11_pq,1,1427,0.0021571950429026994,0.005137626652150028,0.003568112351846134,0.14001401541695865,0.8815697266993693
R2-I1,oracle1,relative_g10_11_pq,2,1428,0.005139169007629147,0.009431100300903415,0.0071677656882922205,0.126890756302521,0.8431372549019608
R2-I1,oracle1,relative_g10_11_pq,3,1426,0.009435361127752668,0.01721413905026362,0.012815502731004869,0.10932678821879384,0.7854137447405329
R2-I1,oracle1,relative_g10_11_pq,4,1428,0.017220040485069355,0.19253215117406086,0.031145217649318085,0.07373949579831933,0.5952380952380952
R2-I1,oracle1,relative_g9_12_pq,0,1427,0.0003267975349519522,0.014952079718805964,0.010055195849643078,0.1690960056061668,0.9425367904695164
R2-I1,oracle1,relative_g9_12_pq,1,1427,0.014953072166711276,0.02319042694359373,0.018992792310601747,0.1458304134548003,0.9039943938332166
R2-I1,oracle1,relative_g9_12_pq,2,1428,0.023191529597309486,0.03271730673207815,0.02774610379048965,0.11932773109243695,0.8431372549019608
R2-I1,oracle1,relative_g9_12_pq,3,1426,0.03272589124932938,0.04701373006934041,0.03917453350714053,0.09775596072931277,0.7552594670406733
R2-I1,oracle1,relative_g9_12_pq,4,1428,0.047014982039560685,0.4124416574310473,0.07286956410885682,0.06484593837535013,0.5665266106442577
R2-I1,oracle1,count_1pct,0,1242,1.0,1.0,1.0,0.07455716586151369,0.6127214170692431
R2-I1,oracle1,count_1pct,1,1901,2.0,2.0,2.0,0.09942135718043135,0.7506575486586007
R2-I1,oracle1,count_1pct,2,1770,3.0,3.0,3.0,0.12429378531073447,0.8401129943502825
R2-I1,oracle1,count_1pct,3,2223,4.0,10.0,4.7381916329284754,0.1575348627980207,0.9221772379667117
R2-I1,oracle1,count_2pct,0,988,1.0,2.0,1.7307692307692308,0.06477732793522267,0.5657894736842105
R2-I1,oracle1,count_2pct,1,1139,3.0,3.0,3.0,0.08718173836698859,0.7023705004389815
R2-I1,oracle1,count_2pct,2,1263,4.0,4.0,4.0,0.10570071258907364,0.7893903404592241
R2-I1,oracle1,count_2pct,3,2183,5.0,6.0,5.461291800274851,0.13078332569857995,0.8680714612918002
R2-I1,oracle1,count_2pct,4,1563,7.0,17.0,8.129878438899553,0.172424824056302,0.9430582213691618
R2-I1,oracle1,count_5pct,0,1103,1.0,6.0,4.797824116047144,0.06509519492293746,0.57116953762466
R2-I1,oracle1,count_5pct,1,1695,7.0,9.0,8.060176991150442,0.09640117994100297,0.7480825958702065
R2-I1,oracle1,count_5pct,2,1348,10.0,11.0,10.488872403560832,0.11520771513353116,0.8137982195845698
R2-I1,oracle1,count_5pct,3,1552,12.0,14.0,12.918814432989691,0.14175257731958765,0.8975515463917526
R2-I1,oracle1,count_5pct,4,1438,15.0,33.0,17.621696801112655,0.16780250347705147,0.9297635605006954
R3-I1,all,g10_11_pq,0,2000,0.0,84.078125,36.37513452148438,0.1315,0.815
R3-I1,all,g10_11_pq,1,2000,84.1484375,208.42578125,142.5925509033203,0.12125000000000001,0.794
R3-I1,all,g10_11_pq,2,2000,208.60546875,397.734375,296.6899766845703,0.11335,0.769
R3-I1,all,g10_11_pq,3,2000,397.765625,727.19140625,539.6305815429688,0.0989,0.724
R3-I1,all,g10_11_pq,4,2000,727.27734375,8327.81640625,1294.9807990722657,0.06445000000000001,0.532
R3-I1,all,g9_12_pq,0,2000,23.6484375,615.30859375,401.4902815551758,0.15240000000000004,0.87
R3-I1,all,g9_12_pq,1,2000,615.3837890625,963.64453125,788.1461345214843,0.1255,0.8065
R3-I1,all,g9_12_pq,2,2000,963.84375,1377.96875,1160.535521484375,0.10685000000000003,0.759
R3-I1,all,g9_12_pq,3,2000,1378.25,2031.9140625,1679.420533935547,0.0839,0.66
R3-I1,all,g9_12_pq,4,2000,2032.25,13292.26953125,3008.378919189453,0.0608,0.5385
R3-I1,all,relative_g10_11_pq,0,2000,0.0,0.0018190696802411225,0.00078864011838504,0.1228,0.788
R3-I1,all,relative_g10_11_pq,1,2000,0.001820297617264983,0.0044848057141222775,0.0030870717756215182,0.12110000000000003,0.7815
R3-I1,all,relative_g10_11_pq,2,2000,0.0044849526771351044,0.008316110648285921,0.006245428028489183,0.11245000000000002,0.765
R3-I1,all,relative_g10_11_pq,3,2000,0.00831792256701716,0.015235452619370099,0.01136814622372176,0.1035,0.739
R3-I1,all,relative_g10_11_pq,4,2000,0.01524028933815332,0.20178645243747473,0.028102516441747674,0.0696,0.5605
R3-I1,all,relative_g9_12_pq,0,2000,0.0007515337480178158,0.013238581510980904,0.008877237793514962,0.13845000000000002,0.816
R3-I1,all,relative_g9_12_pq,1,2000,0.013238724117194475,0.020228912622727833,0.01675467668760515,0.12485,0.798
