model,scope,observable,quintile,queries,observable_min,observable_max,observable_mean,mean_loss,harmful_rate
R1-I1,oracle1,count_5pct,2,1948,9.0,11.0,9.995893223819301,0.11606776180698153,0.8182751540041068
R1-I1,oracle1,count_5pct,3,1515,12.0,14.0,12.890429042904291,0.14244224422442245,0.8904290429042905
R1-I1,oracle1,count_5pct,4,1455,15.0,34.0,17.50515463917526,0.17154639175257733,0.9415807560137457
R2-I1,all,g10_11_pq,0,2000,0.0,86.013671875,37.48233264160156,0.13440000000000005,0.83
R2-I1,all,g10_11_pq,1,2000,86.017578125,216.19921875,146.2341781616211,0.12115000000000001,0.8025
R2-I1,all,g10_11_pq,2,2000,216.2890625,399.421875,301.38384375,0.1101,0.7585
R2-I1,all,g10_11_pq,3,2000,399.4296875,738.7734375,550.4048759765625,0.09325,0.687
R2-I1,all,g10_11_pq,4,2000,738.8203125,6530.6953125,1305.4965786132811,0.06794999999999998,0.545
R2-I1,all,g9_12_pq,0,2000,16.76171875,615.03125,398.7086683959961,0.15320000000000006,0.879
R2-I1,all,g9_12_pq,1,2000,615.1484375,985.8984375,803.9054509277344,0.12500000000000003,0.8145
R2-I1,all,g9_12_pq,2,2000,985.93359375,1418.46875,1193.7267827148437,0.10270000000000001,0.738
R2-I1,all,g9_12_pq,3,2000,1418.52734375,2081.1796875,1717.3269760742187,0.0847,0.661
R2-I1,all,g9_12_pq,4,2000,2081.328125,12916.27734375,3037.764955566406,0.06124999999999999,0.5305
R2-I1,all,relative_g10_11_pq,0,2000,0.0,0.0018778840169000333,0.0008299253050670268,0.12480000000000001,0.798
R2-I1,all,relative_g10_11_pq,1,2000,0.0018785093131803066,0.0045447364711395126,0.003152800246934609,0.12235000000000003,0.7975
R2-I1,all,relative_g10_11_pq,2,2000,0.004549969354202457,0.008384536540983294,0.006382291490950671,0.10950000000000001,0.7445
R2-I1,all,relative_g10_11_pq,3,2000,0.008386055567737027,0.015346282463192829,0.011429413119924126,0.09834999999999999,0.711
R2-I1,all,relative_g10_11_pq,4,2000,0.015350592769930407,0.19253215117406086,0.02794746170505305,0.07185000000000001,0.572
R2-I1,all,relative_g9_12_pq,0,2000,0.0003267975349519522,0.013328510018794513,0.008962204600303426,0.1385,0.8175
R2-I1,all,relative_g9_12_pq,1,2000,0.013329505817651518,0.020698351247199053,0.016930497776648516,0.12625,0.8065
R2-I1,all,relative_g9_12_pq,2,2000,0.02070038279349733,0.02923735103871805,0.024874242057130173,0.10520000000000002,0.7335
R2-I1,all,relative_g9_12_pq,3,2000,0.029237405516640943,0.042708181354412664,0.035312116962991684,0.09115000000000001,0.701
R2-I1,all,relative_g9_12_pq,4,2000,0.04271551247847975,0.4124416574310473,0.06575231345931427,0.06575,0.5645
R2-I1,all,count_1pct,0,1435,1.0,1.0,1.0,0.06905923344947734,0.5672473867595819
R2-I1,all,count_1pct,1,2477,2.0,2.0,2.0,0.08655631812676624,0.6649172385950747
R2-I1,all,count_1pct,2,2440,3.0,3.0,3.0,0.10790983606557375,0.7508196721311475
