scope,descriptor,target,bin,queries,descriptor_mean,target_mean
all,relative_boundary_margin,overall_mean_loss,8,1000,0.019234959674977438,0.08889333333333335
all,relative_boundary_margin,overall_mean_loss,9,1000,0.03894001836783721,0.05986666666666667
all,relative_boundary_margin,harmful_rotation_frequency,0,1000,0.0003672422282549991,0.7878000000000001
all,relative_boundary_margin,harmful_rotation_frequency,1,1000,0.0014392132925435271,0.8238
all,relative_boundary_margin,harmful_rotation_frequency,2,1000,0.0026426771286504397,0.8104
all,relative_boundary_margin,harmful_rotation_frequency,3,1000,0.004038555311424545,0.8048
all,relative_boundary_margin,harmful_rotation_frequency,4,1000,0.0056685650856067625,0.8084000000000001
all,relative_boundary_margin,harmful_rotation_frequency,5,1000,0.007738833167126009,0.8134000000000001
all,relative_boundary_margin,harmful_rotation_frequency,6,1000,0.010243564800408158,0.803
all,relative_boundary_margin,harmful_rotation_frequency,7,1000,0.013725590861628334,0.7522000000000001
all,relative_boundary_margin,harmful_rotation_frequency,8,1000,0.019234959674977438,0.7238
all,relative_boundary_margin,harmful_rotation_frequency,9,1000,0.03894001836783721,0.5014
all,relative_boundary_margin,within_rotation_initialization_variance,0,1000,0.0003672422282549991,0.0031253333333333333
all,relative_boundary_margin,within_rotation_initialization_variance,1,1000,0.0014392132925435271,0.0031524444444444447
all,relative_boundary_margin,within_rotation_initialization_variance,2,1000,0.0026426771286504397,0.0030506666666666672
all,relative_boundary_margin,within_rotation_initialization_variance,3,1000,0.004038555311424545,0.0030822222222222227
all,relative_boundary_margin,within_rotation_initialization_variance,4,1000,0.0056685650856067625,0.0029346666666666666
all,relative_boundary_margin,within_rotation_initialization_variance,5,1000,0.007738833167126009,0.0029515555555555562
all,relative_boundary_margin,within_rotation_initialization_variance,6,1000,0.010243564800408158,0.0029342222222222226
all,relative_boundary_margin,within_rotation_initialization_variance,7,1000,0.013725590861628334,0.002749777777777778
all,relative_boundary_margin,within_rotation_initialization_variance,8,1000,0.019234959674977438,0.0026226666666666672
all,relative_boundary_margin,within_rotation_initialization_variance,9,1000,0.03894001836783721,0.0020662222222222228
all,relative_boundary_margin,between_rotation_variance,0,1000,0.0003672422282549991,0.001537866666666667
all,relative_boundary_margin,between_rotation_variance,1,1000,0.0014392132925435271,0.0015015111111111113
all,relative_boundary_margin,between_rotation_variance,2,1000,0.0026426771286504397,0.0015114666666666667
all,relative_boundary_margin,between_rotation_variance,3,1000,0.004038555311424545,0.0015483555555555557
all,relative_boundary_margin,between_rotation_variance,4,1000,0.0056685650856067625,0.0015811555555555557
all,relative_boundary_margin,between_rotation_variance,5,1000,0.007738833167126009,0.0015132444444444445
all,relative_boundary_margin,between_rotation_variance,6,1000,0.010243564800408158,0.001448088888888889
all,relative_boundary_margin,between_rotation_variance,7,1000,0.013725590861628334,0.0013661333333333334
