scope,L,fraction,policy,selected_queries,recall,recall_gain,exact_distance_evals_per_query,recovery_fraction,recall_gain_per_exact_eval,random_mean_recall,random_recall_p025,random_recall_p975,gap_vs_random_recall,recovery_vs_random,selector_efficiency,exceeds_random_p975,random_std
shard1,64,0.1,ORACLE-QUERY,250,0.87784,0.02584,6.4,0.2543307086614173,0.004037499999999999,0.8621319999999999,0.8611329999999999,0.863021,0.015708000000000055,0.15460629921259897,1.0,True,
shard1,64,0.1,FULL-LOSS-SELECTOR,250,0.87784,0.02584,6.4,0.2543307086614173,0.004037499999999999,0.8621319999999999,0.8611329999999999,0.863021,0.015708000000000055,0.15460629921259897,1.0,True,
shard1,64,0.1,RANDOM,250,0.8621319999999999,0.010131999999999919,6.4,0.09972440944881811,0.0015831249999999873,0.8621319999999999,0.8611329999999999,0.863021,,,,,0.0004908043285148287
shard1,64,0.25,GAP,625,0.88788,0.03588,16.0,0.35314960629921266,0.0022425,0.8772744,0.875518,0.8785639999999999,0.010605599999999993,0.10438582677165348,0.34834590219933276,True,
shard1,64,0.25,ORACLE-QUERY,625,0.90772,0.05572,16.0,0.5484251968503937,0.0034825,0.8772744,0.875518,0.8785639999999999,0.03044559999999996,0.2996614173228343,1.0,True,
shard1,64,0.25,FULL-LOSS-SELECTOR,625,0.90772,0.05572,16.0,0.5484251968503937,0.0034825,0.8772744,0.875518,0.8785639999999999,0.03044559999999996,0.2996614173228343,1.0,True,
shard1,64,0.25,RANDOM,625,0.8772744,0.02527440000000003,16.0,0.24876377952755938,0.0015796500000000019,0.8772744,0.875518,0.8785639999999999,,,,,0.000755275479878067
shard1,64,0.5,GAP,1250,0.91496,0.06296,32.0,0.6196850393700788,0.0019675,0.9026679999999999,0.900832,0.904107,0.01229200000000008,0.12098425196850474,0.40902435777984986,True,
shard1,64,0.5,ORACLE-QUERY,1250,0.93272,0.08072,32.0,0.794488188976378,0.0025225,0.9026679999999999,0.900832,0.904107,0.03005200000000008,0.29578740157480393,1.0,True,
shard1,64,0.5,FULL-LOSS-SELECTOR,1250,0.93272,0.08072,32.0,0.794488188976378,0.0025225,0.9026679999999999,0.900832,0.904107,0.03005200000000008,0.29578740157480393,1.0,True,
shard1,64,0.5,RANDOM,1250,0.9026679999999999,0.050667999999999935,32.0,0.4987007874015742,0.001583374999999998,0.9026679999999999,0.900832,0.904107,,,,,0.0008405000916361665
shard2,16,0.1,GAP,250,0.8658,0.01308,1.6,0.1301233585356148,0.008175,0.8617715999999999,0.860739,0.86256,0.004028400000000154,0.040075606844410604,0.29645874422302143,True,
shard2,16,0.1,ORACLE-QUERY,250,0.87536,0.02264,1.6,0.22522881018702742,0.01415,0.8617715999999999,0.860739,0.86256,0.013588400000000167,0.13518105849582338,1.0,True,
shard2,16,0.1,FULL-LOSS-SELECTOR,250,0.87324,0.02052,1.6,0.2041384799044966,0.012825,0.8617715999999999,0.860739,0.86256,0.011468400000000156,0.11409072821329243,0.8439845750787448,True,
shard2,16,0.1,RANDOM,250,0.8617715999999999,0.009051599999999826,1.6,0.09004775169120399,0.0056572499999998915,0.8617715999999999,0.860739,0.86256,,,,,0.0004727156020315377
shard2,16,0.25,GAP,625,0.8834000000000001,0.03068,4.0,0.3052128929566255,0.00767,0.875382,0.8739790000000001,0.87668,0.00801800000000008,0.07976522085157262,0.3262267068109726,True,
shard2,16,0.25,ORACLE-QUERY,625,0.89996,0.04724,4.0,0.46995622761639466,0.01181,0.875382,0.8739790000000001,0.87668,0.02457799999999999,0.24450855551134087,1.0,True,
shard2,16,0.25,FULL-LOSS-SELECTOR,625,0.8996000000000001,0.04688,4.0,0.4663748507759649,0.01172,0.875382,0.8739790000000001,0.87668,0.024218000000000073,0.24092717867091196,0.9853527544958941,True,
shard2,16,0.25,RANDOM,625,0.875382,0.02266199999999996,4.0,0.2254476721050533,0.00566549999999999,0.875382,0.8739790000000001,0.87668,,,,,0.0007318745821794921
shard2,16,0.5,GAP,1250,0.90852,0.0558,8.0,0.5551134102666135,0.006975,0.8980712,0.896478,0.89968,0.010448800000000036,0.10394747313967403,0.38859302014221603,True,
shard2,16,0.5,ORACLE-QUERY,1250,0.92496,0.07224,8.0,0.7186629526462395,0.00903,0.8980712,0.896478,0.89968,0.026888800000000046,0.26749701551930005,1.0,True,
shard2,16,0.5,FULL-LOSS-SELECTOR,1250,0.92296,0.07024,8.0,0.6987664146438518,0.00878,0.8980712,0.896478,0.89968,0.024888800000000044,0.24760047751691247,0.9256195888250871,True,
shard2,16,0.5,RANDOM,1250,0.8980712,0.045351199999999925,8.0,0.4511659371269391,0.005668899999999991,0.8980712,0.896478,0.89968,,,,,0.0008697953782355938
shard2,32,0.1,GAP,250,0.86788,0.01516,3.2,0.15081575805809788,0.0047374999999999995,0.8627488,0.8617790000000001,0.863661,0.005131200000000002,0.05104655789892561,0.36106732717856127,True,
shard2,32,0.1,ORACLE-QUERY,250,0.8769600000000001,0.02424,3.2,0.24114604058893752,0.007575,0.8627488,0.8617790000000001,0.863661,0.01421120000000009,0.14137684042976612,1.0,True,
shard2,32,0.1,FULL-LOSS-SELECTOR,250,0.8769600000000001,0.02424,3.2,0.24114604058893752,0.007575,0.8627488,0.8617790000000001,0.863661,0.01421120000000009,0.14137684042976612,1.0,True,
shard2,32,0.1,RANDOM,250,0.8627488,0.010028799999999949,3.2,0.09976920015917179,0.003133999999999984,0.8627488,0.8617790000000001,0.863661,,,,,0.0005097856154672993
shard2,32,0.25,GAP,625,0.8879600000000001,0.03524,8.0,0.35057699960206923,0.004405,0.8778548,0.876236,0.87924,0.010105200000000036,0.10052924791086386,0.35700860619250263,True,
shard2,32,0.25,ORACLE-QUERY,625,0.9061600000000001,0.05344,8.0,0.5316354954237962,0.00668,0.8778548,0.876236,0.87924,0.02830520000000003,0.2815877437325908,1.0,True,
shard2,32,0.25,FULL-LOSS-SELECTOR,625,0.9061600000000001,0.05344,8.0,0.5316354954237962,0.00668,0.8778548,0.876236,0.87924,0.02830520000000003,0.2815877437325908,1.0,True,
shard2,32,0.25,RANDOM,625,0.8778548,0.025134800000000013,8.0,0.2500477516912058,0.0031418500000000016,0.8778548,0.876236,0.87924,,,,,0.0007945807356427266
shard2,32,0.5,GAP,1250,0.91544,0.06272,16.0,0.6239554317548746,0.00392,0.903012,0.901335,0.904861,0.012427999999999995,0.12363708714683638,0.44152337643882394,True,
shard2,32,0.5,ORACLE-QUERY,1250,0.93116,0.07844,16.0,0.7803422204536409,0.0049025,0.903012,0.901335,0.904861,0.02814799999999995,0.28002387584560234,1.0,True,
shard2,32,0.5,FULL-LOSS-SELECTOR,1250,0.9311200000000001,0.0784,16.0,0.7799442896935932,0.0049,0.903012,0.901335,0.904861,0.028108000000000022,0.27962594508555527,0.9985789398891598,True,
shard2,32,0.5,RANDOM,1250,0.903012,0.050292,16.0,0.5003183446080381,0.00314325,0.903012,0.901335,0.904861,,,,,0.0009401224936306493
shard2,64,0.1,GAP,250,0.86788,0.01516,6.4,0.15081575805809788,0.0023687499999999998,0.8627531999999999,0.8617790000000001,0.863661,0.005126800000000098,0.0510027855153213,0.36086944280204064,True,
shard2,64,0.1,ORACLE-QUERY,250,0.8769600000000001,0.02424,6.4,0.24114604058893752,0.0037875,0.8627531999999999,0.8617790000000001,0.863661,0.014206800000000186,0.1413330680461618,1.0,True,
shard2,64,0.1,FULL-LOSS-SELECTOR,250,0.8769600000000001,0.02424,6.4,0.24114604058893752,0.0037875,0.8627531999999999,0.8617790000000001,0.863661,0.014206800000000186,0.1413330680461618,1.0,True,
shard2,64,0.1,RANDOM,250,0.8627531999999999,0.010033199999999853,6.4,0.09981297254277609,0.001567687499999977,0.8627531999999999,0.8617790000000001,0.863661,,,,,0.000506668421049595
shard2,64,0.25,GAP,625,0.8879600000000001,0.03524,16.0,0.35057699960206923,0.0022025,0.8778648,0.876236,0.87924,0.010095200000000082,0.10042976522085237,0.35678136220984674,True,
