model,scope,condition,metric,queries,mean,std,median,p05,p95
R2-I1,oracle1,N_distance,harmful_fraction,7136,0.851296244394619,0.0034657854095851994,0.850896860986547,0.8459921524663677,0.8567825112107623
R3-I1,all,observed,loss,10000,0.10589000000000004,2.7895403077993544e-17,0.10589000000000001,0.10589000000000001,0.10589000000000001
R3-I1,all,observed,recall,10000,0.8472600000000005,2.2316322462394835e-16,0.8472600000000002,0.8472600000000002,0.8472600000000002
R3-I1,all,observed,inversions,10000,6.0736000000000026,2.6779586954873804e-15,6.0736,6.0736,6.0736
R3-I1,all,observed,agreement,10000,0.8730600000000003,1.1158161231197418e-16,0.8730600000000002,0.8730600000000002,0.8730600000000002
R3-I1,all,observed,harmful_fraction,10000,0.7267999999999999,1.1158161231197418e-16,0.7268,0.7268,0.7268
R3-I1,all,N0,loss,10000,0.1422951,0.0007540844941002458,0.14227499999999998,0.141237,0.14352700000000002
R3-I1,all,N0,recall,10000,0.8108548999999999,0.0007540844941002495,0.810875,0.809623,0.811913
R3-I1,all,N0,inversions,10000,10.20687,0.07041529835500397,10.20825,10.089605,10.316775
R3-I1,all,N0,agreement,10000,0.8343908999999999,0.0007266876491271501,0.834415,0.8332765,0.8354914999999999
R3-I1,all,N0,harmful_fraction,10000,0.8341730000000002,0.0033129941598243583,0.83415,0.828975,0.83971
R3-I1,all,N1,loss,10000,0.151669,0.0007161040779838165,0.151595,0.15064850000000002,0.152763
R3-I1,all,N1,recall,10000,0.8014809999999999,0.0007161040779838175,0.801555,0.8003870000000001,0.8025015
R3-I1,all,N1,inversions,10000,10.607166000000001,0.06105139451083126,10.610949999999999,10.51595,10.69662
R3-I1,all,N1,agreement,10000,0.8212828999999999,0.0007475283110073964,0.821285,0.820203,0.8222809999999999
R3-I1,all,N1,harmful_fraction,10000,0.8483189999999999,0.0030546435920983444,0.8483,0.843185,0.853205
R3-I1,all,N2,loss,10000,0.11578620000000002,0.0005363923258891084,0.11575,0.114866,0.116563
R3-I1,all,N2,recall,10000,0.8373637999999999,0.0005363923258891126,0.8374,0.836587,0.838284
R3-I1,all,N2,inversions,10000,7.394679999999999,0.035117393313446744,7.39675,7.33928,7.451565
R3-I1,all,N2,agreement,10000,0.8614059000000001,0.0005758105310575409,0.8614299999999999,0.860579,0.86234
R3-I1,all,N2,harmful_fraction,10000,0.757915,0.0031590938158550744,0.75815,0.752265,0.76223
R3-I1,all,N3,loss,10000,0.10722220000000002,0.000504792346545897,0.10726,0.1064065,0.10798100000000001
