model,group,count,signed_mean,mae,std,variance,abs_p50,abs_p90,abs_p95,distance_min,distance_max,distance_mean
R1-I1,rank_10,10000,391.96838227539064,1087.0563612792969,1317.4613142627052,1735704.3145788144,912.84765625,2231.6232421875006,2733.7259765624995,,,
R1-I1,rank_11,10000,384.51609031982423,1094.762301159668,1342.3042140208747,1801780.6029781983,904.05859375,2296.9097656250005,2789.1529296874996,,,
R1-I1,rank_12,10000,383.97392164306643,1098.9810690063478,1336.4824892737056,1786185.4441352405,926.5390625,2261.7423828125,2753.578710937498,,,
R1-I1,rank_13,10000,387.02695439453123,1104.2708534179687,1341.572870829925,1799817.7677468467,917.37158203125,2299.4042968750005,2756.724999999998,,,
R1-I1,rank_14,10000,367.8122486328125,1110.5250133789064,1367.7383244247358,1870708.1241001838,917.130859375,2295.71962890625,2804.4599609374986,,,
R1-I1,rank_15,10000,369.8812948364258,1105.6346977661133,1355.360205870247,1837001.2876566383,930.9375,2287.691015625,2786.344921874998,,,
R1-I1,rank_16,10000,377.70728537597654,1114.168073461914,1364.1466086355217,1860895.9698517951,920.33203125,2302.81484375,2831.6115234374997,,,
R1-I1,rank_17,10000,382.7457442871094,1117.3361562988282,1364.5575695001269,1862017.3604800934,925.7734375,2298.44921875,2787.1490234374996,,,
R1-I1,rank_18,10000,373.0732051025391,1115.248314379883,1364.7803641790479,1862625.4424486947,915.669921875,2303.544140625,2790.773828125,,,
R1-I1,rank_19,10000,363.96025888671875,1121.6157094726564,1376.2161418250337,1893970.8690197815,926.607421875,2309.4488281250005,2802.531249999999,,,
R1-I1,rank_20,10000,339.314690625,1107.9912748046875,1368.190048916657,1871944.0099545638,914.0992431640625,2301.882421875,2745.001953125,,,
R1-I1,rank_21,10000,357.07619093017576,1130.484102746582,1390.6070868762567,1933788.0700704688,936.958984375,2363.8835937500007,2842.573046875,,,
R1-I1,rank_22,10000,330.19697911376954,1128.2240001098633,1385.7321305302858,1920253.5375840047,941.60546875,2347.666015625,2786.8679687499985,,,
R1-I1,rank_23,10000,349.2070504150391,1118.271646118164,1388.4242452556023,1927721.884813589,925.96484375,2315.298046875,2845.4044921874993,,,
R1-I1,rank_24,10000,333.3986107788086,1113.7629932006837,1381.0246368860094,1907229.0476861342,927.37109375,2316.4832031250003,2801.2998046875,,,
R1-I1,rank_25,10000,345.1982601928711,1100.1680010131836,1359.2382794749628,1847528.700390057,901.67578125,2302.4042968750005,2768.065039062499,,,
R1-I1,rank_26,10000,353.99501677246093,1113.5723478271484,1376.2544813619706,1894076.397468907,919.421875,2309.7953125000004,2856.8951171875,,,
R1-I1,rank_27,10000,327.7051210449219,1116.549301123047,1389.823762970308,1931610.0921169473,915.4560546875,2320.4632812500004,2825.6501953125,,,
R1-I1,rank_28,10000,357.1588689941406,1113.1864200683594,1371.205974911571,1880205.8256331917,919.279296875,2313.3699218750007,2837.9130859374986,,,
R1-I1,rank_29,10000,352.0732480712891,1118.1391138427734,1383.4872850698673,1914037.0679499924,915.7109375,2341.5105468750003,2836.0972656249983,,,
R1-I1,rank_30,10000,333.8651748046875,1128.2064389648438,1395.269799067711,1946777.8121904503,942.0927734375,2326.5966796875,2830.1839843749995,,,
R1-I1,rank31_40,100000,328.1869392797852,1132.0021100366212,1404.6117057468364,1972934.0439210373,933.654296875,2350.0179687500004,2857.5365234374976,,,
R1-I1,rank41_100,600000,277.84179129964195,1165.7259282869466,1462.1399599230908,2137853.2624038975,958.703125,2424.6437499999993,2952.039843749999,,,
R1-I1,rank101plus,9353047,-56.51957920278359,1418.1985790309843,1836.9290007059071,3374308.1536344024,1145.8984375,2970.557812500003,3657.0703125,,,
R1-I1,rank1_5,50000,491.96653025146486,1048.9641593530273,1229.2761666657939,1511119.8939325488,882.5439453125,2150.9561523437496,2602.744531249999,,,
R1-I1,rank6_10,50000,420.45664587646485,1077.240586188965,1300.2496200977503,1690649.0745643438,894.228515625,2225.9515625,2705.3517578124993,,,
R1-I1,rank1_10,100000,456.2115880639648,1063.102372770996,1265.7657366745545,1602162.900139278,888.619873046875,2189.5125000000003,2656.673437499996,,,
R1-I1,rank11_20,100000,373.0011694104004,1109.0533463146974,1358.2623782097467,1844876.6880599966,919.533203125,2296.5579101562507,2780.715234374999,,,
R1-I1,rank21plus,10153047,-29.026534279306706,1397.5035648545688,1811.603463983845,3281907.110718266,1128.4375,2927.828125,3606.5625,,,
R1-I1,pooled_distance_quantile_1,1035268,482.4252258699795,944.7788940860537,1083.2500321691548,1173430.6321944748,799.33984375,1939.6710937500002,2322.1080078124996,433.0,49672.0,37625.55852301047
R1-I1,pooled_distance_quantile_2,1035290,297.76098706340736,1076.5595381940084,1322.0511134506385,1747819.146576073,905.2890625,2224.1929687499996,2663.2191406249995,49673.0,61402.0,55946.7919037178
R1-I1,pooled_distance_quantile_3,1035331,199.58804238239992,1169.6177469451798,1461.0121823736465,2134556.5970442053,980.5546875,2419.87890625,2901.2109375,61403.0,70165.0,65925.25303308797
R1-I1,pooled_distance_quantile_4,1035212,125.1321678932069,1248.3929174878551,1568.9656805688353,2461653.306802829,1046.22265625,2577.3414062500005,3090.705859374999,70166.0,77806.0,74045.2269332272
R1-I1,pooled_distance_quantile_5,1035391,49.28508372682397,1321.54326621839,1667.0947412028852,2779204.8761463147,1106.765625,2732.53125,3281.30078125,77807.0,85049.0,81439.4697974002
R1-I1,pooled_distance_quantile_6,1035306,-31.568090708206075,1397.483458332609,1765.4190158271,3116704.301443927,1168.953125,2890.796875,3474.087890625,85050.0,92403.0,88696.07551100834
R1-I1,pooled_distance_quantile_7,1035278,-110.27623427294408,1477.9955135540888,1866.202444145085,3482711.5625330894,1233.609375,3058.014843750001,3676.1886718749993,92404.0,100401.0,96316.9905841716
R1-I1,pooled_distance_quantile_8,1035250,-214.22043928851727,1576.8441286902319,1987.5280443432218,3950267.7270507924,1312.57421875,3266.8359375,3937.8246093749995,100402.0,109950.0,104982.62373629559
R1-I1,pooled_distance_quantile_9,1035382,-344.8851654585578,1704.7756589098879,2139.429155300417,4577157.110549455,1414.859375,3533.546875,4269.6390624999985,109951.0,123642.0,116224.07811223298
R1-I1,pooled_distance_quantile_10,1035339,-657.7492090528441,1996.8302745450403,2479.1359005117797,6146114.813206353,1633.96875,4154.409375000001,5082.75,123643.0,365484.0,139658.15859346552
R2-I1,rank_1,10000,548.1238111450195,1011.8699702270508,1147.2873379312796,1316268.235777442,860.74560546875,2068.0636718750006,2469.9248046874995,,,
R2-I1,rank_2,10000,504.16698337402346,1031.115183178711,1200.5847244465604,1441403.6805744232,857.2978515625,2116.9119140625003,2574.119140624995,,,
R2-I1,rank_3,10000,478.1594433959961,1048.2957250366212,1233.2977714990968,1521023.3931846386,883.01708984375,2165.4302734375005,2627.6091796875,,,
R2-I1,rank_4,10000,429.8894844970703,1037.7553685791015,1242.0237904917885,1542623.0961475903,863.4013671875,2160.206640625,2604.9124999999995,,,
R2-I1,rank_5,10000,456.47149191894533,1065.9186455322265,1280.2250427827819,1638976.1601681758,876.615234375,2199.6199218750003,2682.6312499999985,,,
R2-I1,rank_6,10000,423.4535840209961,1060.8862646850587,1271.468386126703,1616631.856919643,887.736328125,2160.2800781250003,2609.530078124999,,,
R2-I1,rank_7,10000,425.2570296508789,1071.9186401000977,1292.5095114597148,1670580.8372138303,893.134765625,2213.74765625,2660.8478515624993,,,
R2-I1,rank_8,10000,404.66461783447266,1075.7152344360352,1306.1384759996313,1705997.7184866392,896.34375,2237.2289062500004,2661.4853515624986,,,
R2-I1,rank_9,10000,415.87677657470704,1078.2157579223633,1310.3225754754162,1716945.251800528,884.888671875,2239.267578125,2702.8314453124976,,,
R2-I1,rank_10,10000,410.999398828125,1098.3204361328126,1331.6518818533343,1773296.7344435265,914.9306640625,2273.7166015625003,2736.339648437497,,,
R2-I1,rank_11,10000,392.8258506835937,1104.2251380859375,1345.343463558028,1809949.034938311,919.8818359375,2293.1867187500006,2803.9425781249993,,,
R2-I1,rank_12,10000,410.25510510253906,1102.907964477539,1338.4204527528586,1791369.3083471672,917.451171875,2292.5515625000003,2748.4683593749996,,,
R2-I1,rank_13,10000,386.9091610107422,1088.533379663086,1330.85612345153,1771178.0213284343,897.9375,2276.56953125,2747.668164062499,,,
R2-I1,rank_14,10000,392.0116046386719,1092.2753263183595,1337.9889211978123,1790214.3532480854,902.29296875,2268.440625,2788.9279296874997,,,
R2-I1,rank_15,10000,392.83224635009765,1098.8447429321288,1340.156427665815,1796019.250613999,923.26513671875,2281.4703125,2755.9390624999983,,,
