model,scope,condition,metric,observed,n0_mean,condition_mean,denominator,gap_closure,invalid_draw_denominators,draw_mean,draw_std,draw_median,draw_p05,draw_p95
R4-I1,all,N2,loss,0.10651000000000001,0.1426999,0.1158159,0.03618989999999998,0.7428591955214024,0,0.7427339159852024,0.01474991205726757,0.7414308230967297,0.7176169106696437,0.7654556248078065
R4-I1,all,N3,loss,0.10651000000000001,0.1426999,0.1073108,0.03618989999999998,0.9778722792823414,0,0.9778498973094891,0.012714554350375634,0.9780283797831221,0.9580907650726348,0.9992329881927973
R4-I1,all,N4,loss,0.10651000000000001,0.1426999,0.10720719999999999,0.03618989999999998,0.9807349564381227,0,0.9807241249632925,0.010853074736682225,0.979426788488074,0.9625802812827372,0.9991412929388757
R4-I1,all,N_distance,loss,0.10651000000000001,0.1426999,0.11933589999999997,0.03618989999999998,0.6455944890701559,0,0.6455006287517455,0.01841333164443858,0.6437379383356047,0.6172546547303831,0.6790749588542186
R4-I1,all,N0,inversions,6.0697,10.242739000000002,10.242739000000002,4.173039000000002,0.0,0,0.0,0.0,0.0,0.0,0.0
R4-I1,all,N1,inversions,6.0697,10.242739000000002,10.622157000000001,4.173039000000002,-0.09092126864857941,0,-0.09123185225461648,0.022657306744229725,-0.08767942255510057,-0.12917485387889674,-0.05651370624972399
R4-I1,all,N2,inversions,6.0697,10.242739000000002,7.410490000000001,4.173039000000002,0.6787017806447531,0,0.678618964880163,0.009702435483170384,0.6785585518524949,0.6623387477164695,0.6923043311806205
R4-I1,all,N3,inversions,6.0697,10.242739000000002,6.2612119999999996,4.173039000000002,0.9541073064498081,0,0.9540906063514657,0.005241714762983569,0.9536790806469632,0.9464596968907506,0.9630422815281509
R4-I1,all,N4,inversions,6.0697,10.242739000000002,6.2516359999999995,4.173039000000002,0.9564020369807233,0,0.9563846880389916,0.004134558496577445,0.9569774178394737,0.9487612135200878,0.9631993120330635
R4-I1,all,N_distance,inversions,6.0697,10.242739000000002,7.407974,4.173039000000002,0.6793046985662009,0,0.6792323677666839,0.014728178695232913,0.6799459380085755,0.6553695381289514,0.7023586384945523
R4-I1,oracle1,N0,loss,0.12204316143497759,0.15977676569506727,0.15977676569506727,0.037733604260089676,0.0,0,0.0,0.0,0.0,0.0,0.0
R4-I1,oracle1,N1,loss,0.12204316143497759,0.15977676569506727,0.1722174887892377,0.037733604260089676,-0.32969877482201776,0,-0.33044396874918297,0.03907734102915642,-0.33184944709399916,-0.3961998717868069,-0.2723597574156067
R4-I1,oracle1,N2,loss,0.12204316143497759,0.15977676569506727,0.13187107623318386,0.037733604260089676,0.7395447641188858,0,0.7394155744442105,0.0173699290643497,0.7395886828893541,0.7158425930361153,0.7641853969307643
R4-I1,oracle1,N3,loss,0.12204316143497759,0.15977676569506727,0.12294240470852019,0.037733604260089676,0.9761686355921818,0,0.9761221305201228,0.014077761961322285,0.9756826831153302,0.9524692571250153,0.9977820008332198
R4-I1,oracle1,N4,loss,0.12204316143497759,0.15977676569506727,0.12277144058295965,0.037733604260089676,0.9806994544448449,0,0.9806819718292953,0.010956254730285163,0.9808948798454807,0.9613691392404352,0.9980438142380065
R4-I1,oracle1,N_distance,loss,0.12204316143497759,0.15977676569506727,0.1351036995515695,0.037733604260089676,0.6538751499441078,0,0.6537442176946798,0.02138764772340105,0.6538679514578845,0.6185494301961594,0.6885714753216158
R4-I1,oracle1,N0,inversions,5.573430493273543,9.525186378923769,9.525186378923769,3.9517558856502255,0.0,0,0.0,0.0,0.0,0.0,0.0
R4-I1,oracle1,N1,inversions,5.573430493273543,9.525186378923769,9.890982343049325,3.9517558856502255,-0.09256542527180121,0,-0.0930306995841157,0.027821850919563927,-0.09338789381551943,-0.1366185614559644,-0.05252910333557397
R4-I1,oracle1,N2,inversions,5.573430493273543,9.525186378923769,6.746192544843049,3.9517558856502255,0.7032301373098256,0,0.7031357104416992,0.010776206112915925,0.7038825081770527,0.6845954481547182,0.7191894450367678
R4-I1,oracle1,N3,inversions,5.573430493273543,9.525186378923769,5.736904428251121,3.9517558856502255,0.9586325826523873,0,0.9586021954188468,0.006611586684517509,0.9581128107897876,0.9475747009281487,0.9706520962095713
R4-I1,oracle1,N4,inversions,5.573430493273543,9.525186378923769,5.731336883408071,3.9517558856502255,0.9600414613898789,0,0.9600252390930817,0.004733122423215763,0.9601430686091514,0.9528898035008333,0.9664260314360471
R4-I1,oracle1,N_distance,inversions,5.573430493273543,9.525186378923769,6.815444226457401,3.9517558856502255,0.6857058560489762,0,0.6856075408194343,0.0157100732426487,0.6877320553153422,0.65445925016893,0.7098790789885796
