scope,condition,metric,mean,std,median,p05,p95,model_mean_min,model_mean_max,model_mean_std
oracle1,N2,agreement,0.8698674047085203,0.0002627876012354398,0.8698402466367714,0.8693745795964126,0.8702994674887893,0.8674282511210762,0.8761828755605383,0.003576904454757328
oracle1,N2,harmful_fraction,0.8307003923766816,0.0014848671551307513,0.8307034753363229,0.8282721412556053,0.8329372197309417,0.8122926008968611,0.8370697869955157,0.01044013863848694
oracle1,N3,loss,0.12144226457399103,0.00025851226963688484,0.12142236547085203,0.12104512331838566,0.12188410874439462,0.11638845291479819,0.12385874439461882,0.0029450771248513137
oracle1,N3,recall,0.878557735426009,0.0002585122696368757,0.8785776345291479,0.8781158912556054,0.8789548766816145,0.8761412556053811,0.8836115470852018,0.0029450771248513735
oracle1,N3,inversions,5.632582399103139,0.011377714893242304,5.633211883408072,5.613290358744394,5.648594450672645,5.231422365470853,5.852662556053812,0.23621947979737365
oracle1,N3,agreement,0.878557735426009,0.0002585122696368757,0.8785776345291479,0.8781158912556054,0.8789548766816145,0.8761412556053811,0.8836115470852018,0.0029450771248513735
oracle1,N3,harmful_fraction,0.8120571748878924,0.001472359288583435,0.8120515695067264,0.8094408632286996,0.8144100336322869,0.7950686659192823,0.819477298206278,0.010003881666301145
oracle1,N4,loss,0.12108158632286997,0.00018338410868789913,0.12110145739910314,0.12078937780269057,0.12132146860986545,0.11553951793721975,0.12398878923766814,0.0032926380272919214
oracle1,N4,recall,0.8789184136771301,0.00018338410868790707,0.8788985426008968,0.8786785313901345,0.8792106221973094,0.8760112107623317,0.88446048206278,0.003292638027291876
oracle1,N4,inversions,5.623734024663675,0.008960077466152282,5.6241451793721975,5.60859865470852,5.638771020179373,5.212600896860987,5.865896860986547,0.24552745316770444
oracle1,N4,agreement,0.8789184136771301,0.00018338410868790707,0.8788985426008968,0.8786785313901345,0.8792106221973094,0.8760112107623317,0.88446048206278,0.003292638027291876
oracle1,N4,harmful_fraction,0.8083576233183857,0.000999535023828803,0.8082959641255606,0.8069198430493274,0.8103755605381167,0.7898570627802691,0.8165232623318386,0.011154706979755659
oracle1,N_distance,loss,0.13403197869955158,0.00039827460396730835,0.1340064461883408,0.13346090246636771,0.13476205156950674,0.12917544843049328,0.13559669282511208,0.002724181748944016
oracle1,N_distance,recall,0.8659680213004484,0.0003982746039673142,0.8659935538116592,0.8652379484304932,0.8665390975336325,0.8644033071748878,0.8708245515695068,0.0027241817489440535
oracle1,N_distance,inversions,6.73452298206278,0.028745862047756997,6.732889573991031,6.686231782511211,6.78806754484305,6.285235426008968,6.875507286995518,0.2527616376680451
oracle1,N_distance,agreement,0.8659680213004484,0.0003982746039673142,0.8659935538116592,0.8652379484304932,0.8665390975336325,0.8644033071748878,0.8708245515695068,0.0027241817489440535
oracle1,N_distance,harmful_fraction,0.8484201233183858,0.0016986632874093407,0.8483464125560538,0.8458450112107624,0.8512429932735425,0.8369744955156952,0.8521272421524665,0.006420325551954791
