model,scope,descriptor,target,bin,queries,descriptor_mean,target_mean
R0-I1,all,dk_plus_1,observed_loss,9,1001,82702.17282717282,0.07592407592407592
R0-I1,all,dk_plus_1,null_mean_loss,0,1000,18663.426,0.18538
R0-I1,all,dk_plus_1,null_mean_loss,1,1000,31622.377,0.156036
R0-I1,all,dk_plus_1,null_mean_loss,2,1000,38749.061,0.14833
R0-I1,all,dk_plus_1,null_mean_loss,3,1000,44313.178,0.14349
R0-I1,all,dk_plus_1,null_mean_loss,4,1000,49454.723,0.14061
R0-I1,all,dk_plus_1,null_mean_loss,5,1000,54164.113,0.133608
R0-I1,all,dk_plus_1,null_mean_loss,6,1000,58715.017,0.125714
R0-I1,all,dk_plus_1,null_mean_loss,7,1000,63847.908,0.120584
R0-I1,all,dk_plus_1,null_mean_loss,8,999,70285.67367367368,0.11667267267267267
R0-I1,all,dk_plus_1,null_mean_loss,9,1001,82702.17282717282,0.09989410589410591
R0-I1,all,dk_plus_1,excess_loss,0,1000,18663.426,-0.061579999999999996
R0-I1,all,dk_plus_1,excess_loss,1,1000,31622.377,-0.04693599999999999
R0-I1,all,dk_plus_1,excess_loss,2,1000,38749.061,-0.041429999999999995
R0-I1,all,dk_plus_1,excess_loss,3,1000,44313.178,-0.04098999999999999
R0-I1,all,dk_plus_1,excess_loss,4,1000,49454.723,-0.037709999999999994
R0-I1,all,dk_plus_1,excess_loss,5,1000,54164.113,-0.031807999999999996
R0-I1,all,dk_plus_1,excess_loss,6,1000,58715.017,-0.035114
R0-I1,all,dk_plus_1,excess_loss,7,1000,63847.908,-0.027583999999999997
R0-I1,all,dk_plus_1,excess_loss,8,999,70285.67367367368,-0.028084084084084082
R0-I1,all,dk_plus_1,excess_loss,9,1001,82702.17282717282,-0.023970029970029963
R0-I1,all,d20,observed_loss,0,1000,20494.517,0.1267
R0-I1,all,d20,observed_loss,1,1000,34074.952,0.11
R0-I1,all,d20,observed_loss,2,1000,41462.541,0.10880000000000001
R0-I1,all,d20,observed_loss,3,1000,47206.387,0.101
R0-I1,all,d20,observed_loss,4,999,52503.382382382384,0.10340340340340341
R0-I1,all,d20,observed_loss,5,1001,57339.380619380616,0.09820179820179821
R0-I1,all,d20,observed_loss,6,1000,62047.988,0.091
R0-I1,all,d20,observed_loss,7,1000,67306.13,0.09300000000000001
R0-I1,all,d20,observed_loss,8,1000,73931.457,0.08810000000000001
