model,scope,descriptor,target,queries,spearman
R2-I1,oracle1,local_distance_concentration,null_mean_loss,7136,-0.3716621571626336
R2-I1,oracle1,local_distance_concentration,excess_loss,7136,0.037710781651694225
R2-I1,oracle1,candidate_count,observed_loss,7136,0.02192694999275545
R2-I1,oracle1,candidate_count,null_mean_loss,7136,0.013926857304978887
R2-I1,oracle1,candidate_count,excess_loss,7136,0.024382485941236924
R2-I1,oracle1,d1,observed_loss,7136,0.05534299373279878
R2-I1,oracle1,d1,null_mean_loss,7136,0.036676658551288085
R2-I1,oracle1,d1,excess_loss,7136,0.03818821029256845
R2-I1,oracle1,dk,observed_loss,7136,-0.026967879021166135
R2-I1,oracle1,dk,null_mean_loss,7136,-0.1322335509021933
R2-I1,oracle1,dk,excess_loss,7136,0.0755784027711495
R2-I1,oracle1,dk_plus_1,observed_loss,7136,-0.037118081999845585
R2-I1,oracle1,dk_plus_1,null_mean_loss,7136,-0.1470170979035126
R2-I1,oracle1,dk_plus_1,excess_loss,7136,0.07589692946654267
R2-I1,oracle1,d20,observed_loss,7136,-0.05807900835059319
R2-I1,oracle1,d20,null_mean_loss,7136,-0.1870546891066174
R2-I1,oracle1,d20,excess_loss,7136,0.08296507085621696
R2-I1,oracle1,oracle_recall,observed_loss,7136,
R2-I1,oracle1,oracle_recall,null_mean_loss,7136,
R2-I1,oracle1,oracle_recall,excess_loss,7136,
R3-I1,all,boundary_gap_r1,observed_loss,10000,-0.23425892522652547
R3-I1,all,boundary_gap_r1,null_mean_loss,10000,-0.35273387460040817
R3-I1,all,boundary_gap_r1,excess_loss,10000,0.018026508760072456
R3-I1,all,boundary_gap_r2,observed_loss,10000,-0.35079341065029546
R3-I1,all,boundary_gap_r2,null_mean_loss,10000,-0.5966011624191087
R3-I1,all,boundary_gap_r2,excess_loss,10000,0.07418149139321871
R3-I1,all,boundary_gap_r5,observed_loss,10000,-0.3479221872311003
R3-I1,all,boundary_gap_r5,null_mean_loss,10000,-0.6444124173957566
R3-I1,all,boundary_gap_r5,excess_loss,10000,0.12364390772097111
R3-I1,all,relative_boundary_margin,observed_loss,10000,-0.17956692995538795
R3-I1,all,relative_boundary_margin,null_mean_loss,10000,-0.24743903177671075
R3-I1,all,relative_boundary_margin,excess_loss,10000,-0.012322860939583565
R3-I1,all,relative_span_r2,observed_loss,10000,-0.26746752146291475
R3-I1,all,relative_span_r2,null_mean_loss,10000,-0.4234341280847636
R3-I1,all,relative_span_r2,excess_loss,10000,0.0176571081163996
R3-I1,all,local_distance_concentration,observed_loss,10000,-0.06663071544568433
R3-I1,all,local_distance_concentration,null_mean_loss,10000,-0.15287866919931217
R3-I1,all,local_distance_concentration,excess_loss,10000,0.0400190878671356
R3-I1,all,candidate_count,observed_loss,10000,-0.11325703236008225
R3-I1,all,candidate_count,null_mean_loss,10000,-0.16292983697258423
R3-I1,all,candidate_count,excess_loss,10000,0.02185402881167087
R3-I1,all,d1,observed_loss,10000,-0.09281940940466331
R3-I1,all,d1,null_mean_loss,10000,-0.15956531834298351
R3-I1,all,d1,excess_loss,10000,0.040575089077867776
R3-I1,all,dk,observed_loss,10000,-0.15090280569902884
R3-I1,all,dk,null_mean_loss,10000,-0.28240815136403136
R3-I1,all,dk,excess_loss,10000,0.07408974469706699
R3-I1,all,dk_plus_1,observed_loss,10000,-0.15774682152887332
R3-I1,all,dk_plus_1,null_mean_loss,10000,-0.2923637559910533
R3-I1,all,dk_plus_1,excess_loss,10000,0.0744552362338375
R3-I1,all,d20,observed_loss,10000,-0.1678112040409135
R3-I1,all,d20,null_mean_loss,10000,-0.3142588966436196
R3-I1,all,d20,excess_loss,10000,0.0798578420802097
R3-I1,all,oracle_recall,observed_loss,10000,0.3171772530803541
R3-I1,all,oracle_recall,null_mean_loss,10000,0.46455826537950823
R3-I1,all,oracle_recall,excess_loss,10000,-0.03926130973095462
R3-I1,oracle1,boundary_gap_r1,observed_loss,7136,-0.31065887451016877
R3-I1,oracle1,boundary_gap_r1,null_mean_loss,7136,-0.49561891579835415
R3-I1,oracle1,boundary_gap_r1,excess_loss,7136,0.02748920626868816
R3-I1,oracle1,boundary_gap_r2,observed_loss,7136,-0.42824395855148034
R3-I1,oracle1,boundary_gap_r2,null_mean_loss,7136,-0.764697479315729
R3-I1,oracle1,boundary_gap_r2,excess_loss,7136,0.08374956204111603
R3-I1,oracle1,boundary_gap_r5,observed_loss,7136,-0.3999857404865777
R3-I1,oracle1,boundary_gap_r5,null_mean_loss,7136,-0.7802894693167485
R3-I1,oracle1,boundary_gap_r5,excess_loss,7136,0.12501527423051065
