model,exact_rank,count,signed_mean,mae,variance,std,p05,p95
R2-I1,24,10000,336.8811060424805,1116.7545034057616,1912300.509846812,1382.8595408958975,-2007.9109375,2503.128124999997
R2-I1,25,10000,357.87912087402344,1103.6303451904296,1859517.5157890064,1363.6412709319875,-1904.5080078125,2525.501562499999
R2-I1,26,10000,322.59541401367187,1113.3333167480469,1892660.253418008,1375.7398930822671,-2034.6767578125,2456.2769531249987
R2-I1,27,10000,336.67282685546877,1138.3585606445313,1987907.9861817383,1409.931908349385,-2042.0269531249999,2515.2062499999997
R2-I1,28,10000,352.33447368164065,1133.880265966797,1959150.105332708,1399.6964332785549,-1975.8041015625,2584.8949218749985
R2-I1,29,10000,334.2962987792969,1119.5909931152344,1922070.4918242386,1386.3875691249682,-1990.165234375,2510.0132812499987
R2-I1,30,10000,339.9459074707031,1131.5045343261718,1944537.288481221,1394.4666681140934,-1991.7177734375,2568.7779296874996
R3-I1,1,10000,531.3777861450195,993.538580871582,1255972.202425644,1120.7016562964668,-1379.24140625,2286.3009765624993
R3-I1,2,10000,507.4083413208008,1029.9977073364257,1440010.7069616378,1200.004461225723,-1498.398828125,2423.041601562498
R3-I1,3,10000,482.57814332275393,1032.04640201416,1472608.7112466558,1213.510902813261,-1518.4208984375,2407.519921875
R3-I1,4,10000,435.7304739501953,1037.219282055664,1538897.5943271283,1240.5231131773112,-1633.2691406249999,2440.3922851562493
R3-I1,5,10000,439.49952087402346,1057.6341083740235,1588635.0816346563,1260.4106797526972,-1688.44375,2432.3154296874995
R3-I1,6,10000,427.83460013427737,1076.4615365600587,1682764.9275258954,1297.214295143981,-1766.179296875,2492.228124999999
R3-I1,7,10000,411.24431323242186,1066.9860744628907,1667779.1686196765,1291.4252470118727,-1776.39716796875,2457.6374999999985
R3-I1,8,10000,417.7145274169922,1078.8374916748046,1708333.9097784802,1307.032482296626,-1785.6544921874997,2538.1029296875
R3-I1,9,10000,371.2606897216797,1077.2678190185547,1738813.375342259,1318.6407301999507,-1830.0947265625,2497.8962890625
R3-I1,10,10000,399.0084137207031,1097.1902142089843,1759536.346966737,1326.4751588200727,-1847.028125,2441.2443359374997
R3-I1,11,10000,374.9290804443359,1068.7571664794923,1700370.114258793,1303.9824056553803,-1812.671875,2435.087597656249
R3-I1,12,10000,380.20620860595704,1084.8023706176757,1769200.3747966718,1330.1129180624748,-1856.714453125,2477.5402343749975
R3-I1,13,10000,378.7197812011719,1080.1354430175782,1760531.6796144717,1326.850285305193,-1881.8865234375,2486.5783203124997
R3-I1,14,10000,362.87524073486327,1092.2287533325195,1806638.242235994,1344.112436604912,-1910.8554687499998,2469.8287109374983
R3-I1,15,10000,379.18671239013673,1087.1314170776368,1773374.043438177,1331.6809090161867,-1860.76640625,2530.7692871093727
R3-I1,16,10000,356.5008598510742,1104.7457794799805,1840985.1771444045,1356.8290891429194,-1918.0062499999997,2498.4070312499975
