ef_search,feature,direction,threshold,query_fraction,count,mean_loss,harmful_fraction
128,cross_boundary_inversion_fraction,ge,9.474182851729038e-05,0.7001,7001,0.1477646050564205,0.955720611341237
128,cross_boundary_inversion_fraction,ge,0.00014841200040524054,0.6,6000,0.15691666666666668,0.9601666666666666
128,cross_boundary_inversion_fraction,ge,0.00021416726122534818,0.5,5000,0.16776,0.9648
128,cross_boundary_inversion_fraction,ge,0.00029401390185703906,0.4,4000,0.17985,0.97
128,cross_boundary_inversion_fraction,ge,0.00038872691933916425,0.3001,3001,0.1934688437187604,0.9736754415194935
128,cross_boundary_inversion_fraction,ge,0.0005393888739769891,0.2,2000,0.21140000000000003,0.979
128,cross_boundary_inversion_fraction,ge,0.0007881362319039169,0.1,1000,0.2383,0.988
128,maximum_violation,ge,-521.0416015625,0.9,9000,0.12686666666666668,0.8626666666666667
128,maximum_violation,ge,64.63281250000007,0.8,8000,0.14091250000000002,0.952625
128,maximum_violation,ge,464.64433593750016,0.7,7000,0.14625714285714286,0.9514285714285714
128,maximum_violation,ge,812.8171875000002,0.6,6000,0.1517166666666667,0.9526666666666667
128,maximum_violation,ge,1136.80859375,0.5,5000,0.15588,0.9518
128,maximum_violation,ge,1488.9859374999999,0.4,4000,0.15972500000000003,0.95225
128,maximum_violation,ge,1908.2140625000002,0.3,3000,0.1643,0.9486666666666667
128,maximum_violation,ge,2386.0140625000004,0.2,2000,0.1704,0.95
128,maximum_violation,ge,3162.055078125,0.1,1000,0.17790000000000003,0.954
128,topk_agreement,le,0.8,0.3262,3262,0.2102391171060699,0.9822194972409565
128,topk_agreement,le,0.9,0.8153,8153,0.1400466086103275,0.952287501533178
128,topk_agreement,le,1.0,1.0,10000,0.11418000000000002,0.7764
128,random_inversion_rate,ge,0.0234375,0.9291,9291,0.11519750295985365,0.7803250457431924
128,random_inversion_rate,ge,0.02734375,0.8319,8319,0.11571102295949033,0.7824257723284048
128,random_inversion_rate,ge,0.029296875,0.7664,7664,0.11604906054279751,0.7823590814196242
