ef_search,feature,bin,count,min_x,max_x,mean_x,mean_loss,query_standard_error,mean_disagreement,harmful_fraction
64,random_inversion_rate,2,718,0.02734375,0.02734375,0.02734375,0.09108635097493037,0.002931125035366464,0.11155988857938717,0.6768802228412256
64,random_inversion_rate,3,792,0.029296875,0.029296875,0.029296875,0.0946969696969697,0.002880420621876389,0.11388888888888887,0.6944444444444444
64,random_inversion_rate,4,1722,0.03125,0.033203125,0.03222542828106852,0.09570267131242742,0.002006228719910375,0.116260162601626,0.6846689895470384
64,random_inversion_rate,5,858,0.03515625,0.03515625,0.03515625,0.10011655011655013,0.002863677989344099,0.12086247086247084,0.7086247086247086
64,random_inversion_rate,6,859,0.037109375,0.037109375,0.037109375,0.10034924330616997,0.003066359770097572,0.12118742724097786,0.6856810244470314
64,random_inversion_rate,7,719,0.0390625,0.0390625,0.0390625,0.09916550764951321,0.0031675043664376296,0.12155771905424197,0.6954102920723226
64,random_inversion_rate,8,1541,0.041015625,0.044921875,0.042730471284879945,0.10317975340687865,0.002225557953892599,0.12582738481505515,0.7027903958468527
64,random_inversion_rate,9,1024,0.046875,0.09375,0.05133628845214844,0.11718750000000001,0.002817789909546163,0.13769531249999997,0.7734375
64,candidate_count,0,1000,243,697,567.343,0.1139,0.0027936704520387864,0.11629999999999999,0.77
64,candidate_count,1,997,698,854,782.6750250752257,0.10762286860581746,0.002582376200806365,0.11484453360080239,0.7622868605817452
64,candidate_count,2,994,855,948,903.9748490945674,0.1056338028169014,0.0026417575723484076,0.11519114688128773,0.7454728370221329
64,candidate_count,3,1004,949,1020,985.3107569721116,0.10806772908366534,0.0028682684538570463,0.12241035856573704,0.7300796812749004
64,candidate_count,4,1003,1021,1076,1049.926221335992,0.09890329012961119,0.0026104940785978796,0.11575274177467597,0.7048853439680958
64,candidate_count,5,990,1077,1125,1101.2424242424242,0.09626262626262626,0.0025156254481989862,0.11686868686868686,0.706060606060606
64,candidate_count,6,1005,1126,1172,1149.2467661691542,0.09671641791044776,0.0026636752399148036,0.12238805970149254,0.681592039800995
64,candidate_count,7,996,1173,1222,1197.0502008032129,0.09407630522088355,0.0026907370725182647,0.12269076305220883,0.6646586345381527
