start_query,queries,total_batch_us,refine_and_final_us,exact_evals
8960,32,5909.1999999999998,13.835000000000001,96
8992,32,5888.1499999999996,27.134,176
9024,32,5845.8310000000001,17.507000000000001,128
9056,32,5952.9799999999996,17.122,128
9088,32,5908.6599999999999,13.051,96
9120,32,5879.7820000000002,22.696999999999999,160
9152,32,5627.21,15.362,112
9184,32,5894.3280000000004,23.289999999999999,160
9216,32,6006.7250000000004,20.675999999999998,144
9248,32,5799.4709999999995,26.372,192
9280,32,5534.9440000000004,30.547999999999998,224
9312,32,5842.8860000000004,10.833,80
9344,32,5920.259,15.582000000000001,112
9376,32,5699.9979999999996,20.233000000000001,144
9408,32,5712.0029999999997,22.074999999999999,160
9440,32,5925.2690000000002,10.705,80
9472,32,5926.598,19.855,144
9504,32,5691.3739999999998,8.7080000000000002,64
9536,32,5779.1009999999997,22.734000000000002,160
9568,32,5758.4160000000002,16.515000000000001,112
9600,32,6039.6660000000002,14.564,112
9632,32,5950.4260000000004,20.856999999999999,144
9664,32,5897.5119999999997,17.91,128
9696,32,5591.25,20.094999999999999,144
9728,32,5980.8720000000003,16.302,112
9760,32,5941.4030000000002,24.175000000000001,176
9792,32,5947.1260000000002,17.827999999999999,128
9824,32,6001.0460000000003,18.349,128
9856,32,5794.0339999999997,22.559999999999999,160
9888,32,5625,26.536000000000001,192
9920,32,5984.1629999999996,13.489000000000001,96
9952,32,6165.7190000000001,12.103999999999999,80
9984,32,5864.8339999999998,15.875999999999999,112
10016,32,5799.6610000000001,14.195,96
10048,32,5888.6469999999999,12.667999999999999,96
10080,32,5573.6790000000001,22.059999999999999,160
10112,32,5893.1329999999998,4.4059999999999997,32
10144,32,6124.3130000000001,18.672999999999998,128
10176,32,5943.3869999999997,17.695,128
10208,32,5907.2359999999999,13.928000000000001,96
10240,32,5734.1800000000003,16.152000000000001,112
10272,32,6045.4129999999996,15.766999999999999,112
10304,32,5954.6559999999999,10.657,64
10336,32,5785.0029999999997,25.946999999999999,176
10368,32,5852.2449999999999,17.835999999999999,128
10400,32,6028.6030000000001,29.401,208
10432,32,5548.9899999999998,21.295999999999999,144
10464,32,5901.7969999999996,14.026999999999999,96
10496,32,6000.3599999999997,31.555,224
10528,32,5844.0870000000004,19.32,144
10560,32,5946.7190000000001,17.548999999999999,128
10592,32,5782.3050000000003,20.433,144
10624,32,6002.4129999999996,22.384,160
10656,32,5827.9089999999997,16.731999999999999,112
10688,32,6199.6120000000001,13.897,96
10720,32,5852.3540000000003,14.263999999999999,96
10752,32,6066.5140000000001,19.271999999999998,144
10784,32,5799.5460000000003,13.238,96
10816,32,5792.665,13.167,96
10848,32,5981.5770000000002,11.853999999999999,80
10880,32,5910.8800000000001,19.945,144
10912,32,5837.0640000000003,17.963999999999999,128
10944,32,5755.6220000000003,12.082000000000001,80
10976,32,5800.7219999999998,20.228999999999999,144
11008,32,5744.4080000000004,19.562000000000001,144
11040,32,6032.5439999999999,22.675000000000001,160
11072,32,5721.9870000000001,15.422000000000001,112
11104,32,5914.9709999999995,18.350000000000001,128
11136,32,5681.8990000000003,17.213000000000001,128
11168,32,5639.5249999999996,25.013000000000002,176
11200,32,6138.9049999999997,12.992000000000001,96
11232,32,5951.1019999999999,7.3769999999999998,48
11264,32,5763.5209999999997,11.509,80
11296,32,5793.625,11.818,80
11328,32,5767.0410000000002,11.515000000000001,80
11360,32,5715.7309999999998,18.137,128
11392,32,5797.0190000000002,18.286999999999999,128
11424,32,5593.0119999999997,13.132,96
11456,32,5937.6779999999999,13.452,96
11488,32,5704.4989999999998,27.385999999999999,192
11520,32,5333.1379999999999,26.747,192
11552,32,5874.3320000000003,11.428000000000001,80
11584,32,6036.9089999999997,19.795999999999999,144
11616,32,6095.5460000000003,18.997,128
11648,32,5877.4849999999997,25.739000000000001,176
11680,32,5857.3540000000003,14.952,96
11712,32,5863.3509999999997,28.98,208
11744,32,5920.9170000000004,29.920000000000002,208
11776,32,5924.7910000000002,20.553999999999998,144
11808,32,6003.2169999999996,15.923999999999999,112
11840,32,5935.1300000000001,20.745000000000001,144
11872,32,5799.0810000000001,14.298,96
11904,32,5596.5050000000001,18.609000000000002,128
11936,32,5894.5590000000002,23.356999999999999,160
11968,32,5803.982,22.960000000000001,160
12000,32,5996.1819999999998,25.067,176
12032,32,5784.9769999999999,11.917,80
12064,32,5902.7669999999998,11.359,80
12096,32,5989.2889999999998,13.19,96
12128,32,5962.2349999999997,11.622999999999999,80
12160,32,5832.21,16.177,112
12192,32,5862.5150000000003,21.363,144
12224,32,5885.9309999999996,14.013,96
12256,32,5604.9309999999996,16.550000000000001,112
12288,32,5689.4219999999996,23.082000000000001,160
12320,32,6063.8919999999998,14.079000000000001,96
12352,32,5887.4200000000001,16.645,112
12384,32,6038.2399999999998,13.736000000000001,96
12416,32,5611.0969999999998,25.433,176
12448,32,5593.1580000000004,16.114999999999998,112
12480,32,5916.9459999999999,18.800999999999998,128
12512,32,5807.5559999999996,16.184999999999999,112
12544,32,5916.0529999999999,12.492000000000001,80
12576,32,5748.7879999999996,16.056999999999999,112
12608,32,5945.875,11.762,80
12640,32,5689.7870000000003,24.370999999999999,176
12672,32,5863.433,13.787000000000001,96
12704,32,5875.4650000000001,21.039000000000001,144
12736,32,5700.8119999999999,22.443000000000001,160
12768,32,5646.6310000000003,25.414999999999999,176
12800,32,5707.4459999999999,18.558,128
12832,32,5869.4679999999998,20.07,128
12864,32,5629.3450000000003,20.195,144
12896,32,5739.6040000000003,23.635999999999999,160
12928,32,5783.5479999999998,25.113,176
12960,32,5971.5619999999999,25.082000000000001,176
12992,32,5717.0640000000003,18.247,128
13024,32,5689.0159999999996,34.344000000000001,240
13056,32,6225.0749999999998,13.871,96
13088,32,5693.7860000000001,13.958,96
13120,32,5758.5360000000001,15.343999999999999,112
13152,32,5736.6270000000004,24.986999999999998,176
13184,32,5736.8370000000004,22.733000000000001,160
13216,32,5929.3199999999997,7.1710000000000003,48
13248,32,5976.0919999999996,17.305,128
13280,32,5896.7209999999995,16.308,112
13312,32,5779.7759999999998,25.048999999999999,176
13344,32,5622.7299999999996,29.088999999999999,192
13376,32,5648.3100000000004,18.344999999999999,128
13408,32,5947.1610000000001,27.922999999999998,192
13440,32,5659.6549999999997,37.506999999999998,272
13472,32,5899.192,9.4250000000000007,64
13504,32,5980.8280000000004,34.084000000000003,240
13536,32,5724.1679999999997,11.319000000000001,80
13568,32,5954.3209999999999,27.177,192
