scope,descriptor,target,bin,queries,descriptor_mean,target_mean
all,boundary_margin,harmful_subset_frequency,6,1006,479.9900596421471,0.7574552683896619
all,boundary_margin,harmful_subset_frequency,7,999,645.2632632632633,0.7157157157157157
all,boundary_margin,harmful_subset_frequency,8,1003,917.2313060817547,0.6660019940179461
all,boundary_margin,harmful_subset_frequency,9,1000,1761.07,0.4203333333333334
all,boundary_margin,overall_mean_loss,0,990,16.47979797979798,0.12180695847362515
all,boundary_margin,overall_mean_loss,1,999,64.89689689689689,0.12302302302302302
all,boundary_margin,overall_mean_loss,2,1003,120.86739780658026,0.11930874044533069
all,boundary_margin,overall_mean_loss,3,1006,187.31908548707753,0.11066931742876078
all,boundary_margin,overall_mean_loss,4,995,264.30452261306533,0.10968174204355109
all,boundary_margin,overall_mean_loss,5,999,359.40840840840843,0.1050606161717273
all,boundary_margin,overall_mean_loss,6,1006,479.9900596421471,0.09670863706648995
all,boundary_margin,overall_mean_loss,7,999,645.2632632632633,0.0894894894894895
all,boundary_margin,overall_mean_loss,8,1003,917.2313060817547,0.07879694250581588
all,boundary_margin,overall_mean_loss,9,1000,1761.07,0.050022222222222225
all,boundary_margin,between_subset_variability,0,990,16.47979797979798,0.001160493827160494
all,boundary_margin,between_subset_variability,1,999,64.89689689689689,0.0010726776158874927
all,boundary_margin,between_subset_variability,2,1003,120.86739780658026,0.001162438610095639
all,boundary_margin,between_subset_variability,3,1006,187.31908548707753,0.0011123383157843067
all,boundary_margin,between_subset_variability,4,995,264.30452261306533,0.0010762454246541348
all,boundary_margin,between_subset_variability,5,999,359.40840840840843,0.001093933439612452
all,boundary_margin,between_subset_variability,6,1006,479.9900596421471,0.00098348182509879
all,boundary_margin,between_subset_variability,7,999,645.2632632632633,0.0009332789579703162
all,boundary_margin,between_subset_variability,8,1003,917.2313060817547,0.0008941078000566205
all,boundary_margin,between_subset_variability,9,1000,1761.07,0.0006901234567901237
all,boundary_margin,within_subset_variability,0,990,16.47979797979798,0.003094650205761317
all,boundary_margin,within_subset_variability,1,999,64.89689689689689,0.003109776443109776
all,boundary_margin,within_subset_variability,2,1003,120.86739780658026,0.002955577711310513
all,boundary_margin,within_subset_variability,3,1006,187.31908548707753,0.0028989028790221633
all,boundary_margin,within_subset_variability,4,995,264.30452261306533,0.002811836962590732
all,boundary_margin,within_subset_variability,5,999,359.40840840840843,0.0028554480406332264
all,boundary_margin,within_subset_variability,6,1006,479.9900596421471,0.002748693027023047
all,boundary_margin,within_subset_variability,7,999,645.2632632632633,0.0027034441849256665
